office,candidate,party,state,incumbency,result,total money,district
U.S. Senator,Timothy Kaine,DEM,VA,Incumbent,Won,21745673.35,nan
U.S. Representative,Abigail Spanberger,DEM,VA,Challenger,Won,7230974.97,7
U.S. Representative,Barbara Comstock,REP,VA,Incumbent,Lost,6374928.38,10
U.S. Representative,Jennifer Wexton,DEM,VA,Challenger,Won,6086902.62,10
U.S. Representative,Elaine Luria,DEM,VA,Challenger,Won,4222861.35,2
U.S. Representative,Scott Taylor,REP,VA,Incumbent,Lost,3967284.2,2
U.S. Representative,Leslie Cockburn,DEM,VA,Open,Lost,3514054.94,5
U.S. Representative,David Alan Brat,REP,VA,Incumbent,Lost,3334581.15,7
U.S. Senator,Corey Alan Stewart,REP,VA,Challenger,Lost,2770613.74,nan
U.S. Representative,Alison Kiehl Friedman,DEM,VA,Open,Lost,2205178.13,10
U.S. Representative,Donald Sternoff Beyer Jr.,DEM,VA,Incumbent,Won,2072248.39,8
U.S. Representative,Gerald Connolly,DEM,VA,Incumbent,Won,2028007.05,11
U.S. Representative,Denver Riggleman,REP,VA,Open,Won,1912990.38,5
U.S. Representative,Robert Wittman,REP,VA,Incumbent,Won,1552185.86,1
U.S. Representative,Daniel Helmer,DEM,VA,Open,Lost,1318244.68,10
U.S. Representative,Morgan Griffith,REP,VA,Incumbent,Won,1159531.66,9
U.S. Representative,Anthony Flaccavento,DEM,VA,Challenger,Lost,1056183.92,9
U.S. Representative,Ben Cline,REP,VA,Open,Won,937493.3,6
U.S. Representative,Daniel Ward,DEM,VA,Open,Lost,930542.09,7
U.S. Representative,Lindsey Davis Stover,DEM,VA,Open,Lost,902205.35,10
U.S. Representative,Aston Donald McEachin,DEM,VA,Incumbent,Won,867410.85,4
U.S. Representative,Robert Scott,DEM,VA,Incumbent,Won,649223.57,3
U.S. Representative,Jeffery Anthony Dove Jr.,REP,VA,Challenger,Lost,626003.62,11
U.S. Senator,Nicholas Freitas,REP,VA,Open,Lost,586961.93,nan
U.S. Representative,Paul Pelletier,DEM,VA,Open,Lost,448341.75,10
U.S. Representative,Jenniefer Lynn Lewis,DEM,VA,Open,Lost,435729.65,6
U.S. Representative,Vangie Williams,DEM,VA,Challenger,Lost,425558.55,1
U.S. Representative,Shak Hill,REP,VA,Challenger,Lost,304820.45,10
U.S. Representative,Andrew Sneathern,DEM,VA,Open,Lost,260498.46,5
U.S. Representative,Ryan McAdams,REP,VA,Challenger,Lost,243683.51,4
U.S. Representative,Julia Elizabeth Biggins,DEM,VA,Open,Lost,100228.4,10
U.S. Representative,Mary Jones,REP,VA,Challenger,Lost,85029.67,2
U.S. Representative,Peter Volosin,DEM,VA,Open,Lost,71378.28,6
U.S. Representative,Karen Powers Mallard,DEM,VA,Open,Lost,70829.4,2
U.S. Representative,Thomas Oh,REP,VA,Challenger,Lost,67453.76,8
U.S. Representative,John Suddarth,DEM,VA,Open,Lost,65196.4,1
U.S. Representative,Edwin Santana Jr.,DEM,VA,Open,Lost,58097.72,1
U.S. Senator,Matt Waters,LIB,VA,Challenger,Lost,45709.32,nan
U.S. Representative,Justin Santopietro,DEM,VA,Open,Lost,26036.89,9
U.S. Representative,Shion Fenty,REP,VA,Open,Lost,13287.75,4
U.S. Representative,Stevan Michael Porter,LIB,VA,Challenger,Lost,10450.3,11
U.S. Representative,Joseph Walton,LIB,VA,Challenger,Lost,7471.92,7
U.S. Representative,Charlotte Ann Moore,DEM,VA,Open,Lost,6509.13,6
U.S. Representative,Sergio Coppola II,DEM,VA,Open,Lost,5310.59,6
U.S. Representative,Peter Wells,LIB,VA,Challenger,Lost,0.0,4
U.S. Senator,W Jackson,REP,VA,Open,Lost,0.0,nan
