,State,Position,District,Candidate,Party,Year Elected,Next Election,Number of Terms in Position,Unopposed in Last Election,DEM Unopposed in Primary,REP Unopposed in Primary
0,Idaho,Attorney General,0,Lawrence Wasden,REP,2014,2018,4,No,Yes,Yes
1,Idaho,Controller,0,Brandon Woolf,REP,2014,2018,1,Yes,Yes,Yes
2,Idaho,Governor,0,L Otter,REP,2014,2018,3,No,No,No
3,Idaho,Lieutenant Governor,0,Brad Little,REP,2014,2018,2,No,No,No
4,Idaho,Secretary Of State,0,Lawerence Denney,REP,2014,2018,1,No,No,Yes
5,Idaho,State Representative,10A,Brandon Hixon,REP,2014,2016,2,No,Yes,Yes
6,Idaho,State Representative,10B,Gregory Chaney,REP,2014,2016,1,No,Yes,Yes
7,Idaho,State Representative,11A,Gayle Batt,REP,2014,2016,2,Yes,Yes,No
8,Idaho,State Representative,11B,Christy Perry,REP,2014,2016,2,Yes,Yes,No
9,Idaho,State Representative,12A,Robert Anderst,REP,2014,2016,2,No,Yes,Yes
10,Idaho,State Representative,12B,Rick Youngblood,REP,2014,2016,2,No,Yes,Yes
11,Idaho,State Representative,13A,Brent Crane,REP,2014,2016,5,Yes,Yes,Yes
12,Idaho,State Representative,13B,Sean McGary,REP,2014,2016,2,Yes,Yes,No
13,Idaho,State Representative,14A,Mike Moyle,REP,2014,2016,8,No,Yes,Yes
14,Idaho,State Representative,14B,Reed Demordaunt,REP,2014,2016,3,No,Yes,Yes
15,Idaho,State Representative,15A,Lynn Luker,REP,2014,2016,5,No,Yes,Yes
16,Idaho,State Representative,15B,Patrick McDonald,REP,2014,2016,1,No,Yes,Yes
17,Idaho,State Representative,16A,John McCrostie,DEM,2014,2016,1,No,Yes,Yes
18,Idaho,State Representative,16B,Hy Kloc,DEM,2014,2016,2,No,No,Yes
19,Idaho,State Representative,17A,John Gannon,DEM,2014,2016,2,No,No,Yes
20,Idaho,State Representative,17B,Sue Chew,DEM,2014,2016,5,Yes,Yes,Yes
21,Idaho,State Representative,18A,Ilana Rubel,DEM,2014,2016,1,No,Yes,Yes
22,Idaho,State Representative,18B,Phylis King,DEM,2014,2016,5,No,Yes,Yes
23,Idaho,State Representative,19A,Mathew Erpelding,DEM,2014,2016,2,No,Yes,No
24,Idaho,State Representative,19B,Melissa Wintrow,DEM,2014,2016,1,Yes,Yes,Yes
25,Idaho,State Representative,1A,Heather Scott,REP,2014,2016,1,No,No,No
