Candidate,Party,State,Office,Incumbency,Result,Total Money
"JENSEN, SCOTT R",REPUBLICAN,WI,ASSEMBLY DISTRICT 032,Incumbent,Won-General,615014.99
"HARSDORF, SHEILA",REPUBLICAN,WI,SENATE DISTRICT 010,Challenger,Won-General,412331.79
"CHVALA, CHUCK",DEMOCRATIC,WI,SENATE DISTRICT 016,Incumbent,Won-General,306782.33
"MEYER, MARK",DEMOCRATIC,WI,SENATE DISTRICT 032,Open,Won-General,250208.54
"SYKES, DIANE S",NONPARTISAN,WI,SUPREME COURT-SYKES SEAT,Incumbent,Won-General,239516.36
"KAPANKE, DANIEL (DAN)",REPUBLICAN,WI,SENATE DISTRICT 032,Open,Lost-General,232653.00
"CLAUSING, ALICE",DEMOCRATIC,WI,SENATE DISTRICT 010,Incumbent,Lost-General,225589.00
"DARLING, ALBERTA H",REPUBLICAN,WI,SENATE DISTRICT 008,Incumbent,Won-General,212930.69
"BUTLER JR, LOUIS B",NONPARTISAN,WI,SUPREME COURT-SYKES SEAT,Challenger,Lost-General,190994.34
"PANZER, MARY E",REPUBLICAN,WI,SENATE DISTRICT 020,Incumbent,Won-General,164509.40
"NELSON, LISA B",REPUBLICAN,WI,SENATE DISTRICT 016,Challenger,Lost-General,161533.00
"HANSEN, DAVID N (DAVE)",DEMOCRATIC,WI,SENATE DISTRICT 030,Challenger,Won-General,157237.56
"DRZEWIECKI, GARY F",REPUBLICAN,WI,SENATE DISTRICT 030,Incumbent,Lost-General,156678.00
"GEORGE, GARY A",DEMOCRATIC,WI,SENATE DISTRICT 006,Incumbent,Won-General,144157.99
"SHIBILSKI, KEVIN W",DEMOCRATIC,WI,SENATE DISTRICT 024,Incumbent,Won-General,143824.54
"WELCH, ROBERT",REPUBLICAN,WI,SENATE DISTRICT 014,Incumbent,Won-General,141808.12
"WIRCH, ROBERT W",DEMOCRATIC,WI,SENATE DISTRICT 022,Incumbent,Won-General,132932.59
"FOTI, STEVEN M",REPUBLICAN,WI,ASSEMBLY DISTRICT 038,Incumbent,Won-General,130327.70
"KRUG, SHIRLEY",DEMOCRATIC,WI,ASSEMBLY DISTRICT 012,Incumbent,Won-General,123030.32
"BLACK, SPENCER",DEMOCRATIC,WI,ASSEMBLY DISTRICT 077,Incumbent,Won-General,121677.76
"LAZICH, MARY",REPUBLICAN,WI,SENATE DISTRICT 028,Incumbent,Won-General,114516.15
"LIPPERT, MARYANN T",REPUBLICAN,WI,ASSEMBLY DISTRICT 070,Open,Won-General,114463.25
"RISSER, FRED",DEMOCRATIC,WI,SENATE DISTRICT 026,Incumbent,Won-General,112704.25
"WASSERMAN, SHELDON A",DEMOCRATIC,WI,ASSEMBLY DISTRICT 022,Incumbent,Won-General,112421.83
"PETROWSKI, JERRY",REPUBLICAN,WI,ASSEMBLY DISTRICT 086,Incumbent,Won-General,109728.35
"BRESKE, ROGER",DEMOCRATIC,WI,SENATE DISTRICT 012,Incumbent,Won-General,109640.79
"ROESSLER, CAROL A",REPUBLICAN,WI,SENATE DISTRICT 018,Incumbent,Won-General,109173.39
"RILEY, ANTONIO R",DEMOCRATIC,WI,ASSEMBLY DISTRICT 018,Incumbent,Won-General,102544.30
"GARD, JOHN G",REPUBLICAN,WI,ASSEMBLY DISTRICT 089,Incumbent,Won-General,98130.77
"LADWIG, BONNIE L",REPUBLICAN,WI,ASSEMBLY DISTRICT 063,Incumbent,Won-General,96002.83
"HOVEN, TIMOTHY",REPUBLICAN,WI,ASSEMBLY DISTRICT 060,Incumbent,Won-General,93500.37
"SKINDRUD, RICK",REPUBLICAN,WI,ASSEMBLY DISTRICT 079,Incumbent,Won-General,92569.77
"KRAWCZYK, JUDY",REPUBLICAN,WI,ASSEMBLY DISTRICT 088,Open,Won-General,84639.15
"LEIBHAM, JOE",REPUBLICAN,WI,ASSEMBLY DISTRICT 026,Incumbent,Won-General,83004.53
"DUECKER, DAVE",REPUBLICAN,WI,SENATE DISTRICT 022,Challenger,Lost-General,80996.00
"WALKER, SCOTT K",REPUBLICAN,WI,ASSEMBLY DISTRICT 014,Incumbent,Won-General,78966.77
"HAHN, EUGENE",REPUBLICAN,WI,ASSEMBLY DISTRICT 047,Incumbent,Won-General,78853.19
