Candidate,Party,State,Office,Incumbency,Result,Total Money
"OBANNON, FRANK L & KERNAN, JOSEPH E (JOE)",DEMOCRATIC,IN,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Won-General,9020738.41
"MCINTOSH, DAVID & CLARK, J MURRAY",REPUBLICAN,IN,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,8396380.75
"FREEMAN-WILSON, KAREN M",DEMOCRATIC,IN,ATTORNEY GENERAL,Open,Lost-General,710023.27
"CARTER, STEPHEN R",REPUBLICAN,IN,ATTORNEY GENERAL,Open,Won-General,692903.87
"FRENZ, JOHN GREGORY",DEMOCRATIC,IN,HOUSE DISTRICT 064,Incumbent,Won-General,315227.19
"GREGG, JOHN R",DEMOCRATIC,IN,HOUSE DISTRICT 045,Incumbent,Won-General,295108.09
"HOLCOMB, ERIC",REPUBLICAN,IN,HOUSE DISTRICT 064,Challenger,Lost-General,245714.66
"HERSHMAN, BRANDT",REPUBLICAN,IN,SENATE DISTRICT 007,Open,Won-General,243062.81
"MANNWEILER, PAUL S",REPUBLICAN,IN,HOUSE DISTRICT 087,Incumbent,Won-General,242641.31
"REED, SUELLEN",REPUBLICAN,IN,SUPERINTENDENT OF PUBLIC INSTRUCTION,Incumbent,Won-General,242363.82
"STURTZ, W DALE",DEMOCRATIC,IN,HOUSE DISTRICT 052,Incumbent,Won-General,204025.84
"KUZMAN, ROBERT D",DEMOCRATIC,IN,HOUSE DISTRICT 019,Incumbent,Won-General,195157.76
"LUX, JOHN D",DEMOCRATIC,IN,HOUSE DISTRICT 057,Open,Lost-General,190081.32
"WELCH, PEGGY M",DEMOCRATIC,IN,HOUSE DISTRICT 060,Incumbent,Won-General,188707.93
"LEUCK, CLAIRE M",DEMOCRATIC,IN,HOUSE DISTRICT 025,Incumbent,Won-General,183789.02
"JOHNSON JR, RONALD DEAN",REPUBLICAN,IN,HOUSE DISTRICT 019,Challenger,Lost-General,182457.88
"HERNDON, C MICHAEL MIKE",REPUBLICAN,IN,HOUSE DISTRICT 057,Open,Won-General,179819.50
"BURKHARDT, KAREN BUYER",REPUBLICAN,IN,HOUSE DISTRICT 030,Challenger,Lost-General,176582.40
"DUMEZICH, DANIEL A",REPUBLICAN,IN,HOUSE DISTRICT 015,Open,Won-General,174516.58
"LEISING, JEAN",REPUBLICAN,IN,HOUSE DISTRICT 068,Challenger,Lost-General,173535.12
"LONG, DAVID C",REPUBLICAN,IN,SENATE DISTRICT 016,Incumbent,Won-General,156567.41
"MILLER, PATRICIA",REPUBLICAN,IN,SENATE DISTRICT 032,Incumbent,Won-General,151606.54
"SABATINI, ROBERT N",DEMOCRATIC,IN,HOUSE DISTRICT 024,Challenger,Lost-General,147730.47
"SHEAN, JOHN H",REPUBLICAN,IN,HOUSE DISTRICT 060,Challenger,Lost-General,146223.94
"ALTMAN, KATHY",DEMOCRATIC,IN,SENATE DISTRICT 007,Open,Lost-General,143948.96
"KENLEY, HOWARD (LUKE)",REPUBLICAN,IN,SENATE DISTRICT 020,Incumbent,Won-General,142876.10
