office,candidate,party,state,incumbency,result,total money,district
U.S. Representative,Spencer Bachus III,REP,AL,Incumbent,Won-General,2608524.23,6
U.S. Representative,Terri Sewell,DEM,AL,Incumbent,Won-General,1208922.63,7
Supreme Court-Chief Justice,Robert Vance,DEM,AL,Open,Lost-General,1180760.43,nan
U.S. Representative,Jo Bonner,REP,AL,Incumbent,Won-General,1177293.0,1
U.S. Representative,Robert Aderholt,REP,AL,Incumbent,Won-General,1126285.76,4
U.S. Representative,Mike Rogers,REP,AL,Incumbent,Won-General,1071260.1,3
U.S. Representative,Martha Roby,REP,AL,Incumbent,Won-General,1069160.43,2
U.S. Representative,Mo Brooks,REP,AL,Incumbent,Won-General,918977.75,5
Supreme Court-Chief Justice,Roy Moore,REP,AL,Open,Won-General,651415.66,nan
Supreme Court-Open Seat,Tommy Bryan,REP,AL,Open,Won-General,435479.14,nan
Public Service Commissioner-President,Twinkle Cavanaugh,REP,AL,Challenger,Won-General,415771.57,nan
Criminal Appellate Court-Burke Seat,Liles Burke,REP,AL,Incumbent,Won-General,145217.39,nan
State Representative,Mack Butler,REP,AL,Open,Lost-General,95700.08,30
Supreme Court-Main Seat,James Allen Main,REP,AL,Incumbent,Won-General,86605.62,nan
Supreme Court-Murdock Seat,Glenn Murdock,REP,AL,Incumbent,Won-General,82678.84,nan
Public Service Commissioner-President,Lucy Baxley,DEM,AL,Incumbent,Lost-General,67449.01,nan
State Representative,David Standridge,REP,AL,Open,Default Winner-General,65287.66,34
Civil Appellate Court-Moore Seat,Terry Moore,REP,AL,Incumbent,Won-General,63500.0,nan
Board Of Education District 001,Tracy Roberts,REP,AL,Open,Won-General,63180.0,nan
Criminal Appellate Court-Joiner Seat,Michael Joiner,REP,AL,Incumbent,Won-General,57165.0,nan
Supreme Court-Stuart Seat,Jacqueline Stuart,REP,AL,Incumbent,Won-General,54965.47,nan
U.S. Representative,Charlie Holley,DEM,AL,Challenger,Lost-General,53934.33,5
Civil Appellate Court-Thomas Seat,Terri Willingham Thomas,REP,AL,Incumbent,Won-General,51130.54,nan
State Representative,Chris Latta,REP,AL,Open,Lost-Primary Runoff,38107.18,34
U.S. Representative,Penny Bailey,DEM,AL,Challenger,Lost-General,36671.72,6
Civil Appellate Court-Pittman Seat,Craig Sorrell Pittman Sr.,REP,AL,Incumbent,Won-General,26000.0,nan
Board Of Education District 007,Jeff Newman,REP,AL,Open,Won-General,22888.01,nan
State Representative,Beth McGlaughn,DEM,AL,Open,Won-General,22537.65,30
Board Of Education District 001,Herndon Inge III,DEM,AL,Open,Lost-General,22070.0,nan
U.S. Representative,John Andrew Harris,DEM,AL,Challenger,Lost-General,6024.03,3
Criminal Appellate Court-Welch Seat,Samuel Henry Welch,REP,AL,Incumbent,Won-General,3180.05,nan
U.S. Representative,Daniel Boman,DEM,AL,Challenger,Lost-General,2561.67,4
U.S. Representative,Don Chamberlain,REP,AL,Challenger,Lost-General,2000.0,7
Board Of Education District 005,Ella Bell,DEM,AL,Incumbent,Won-General,1605.0,nan
Board Of Education District 003,Stephanie Bell,REP,AL,Incumbent,Won-General,375.0,nan
U.S. Representative,Therese Ford,DEM,AL,Challenger,Lost-General,0.0,2
