office,candidate,party,state,incumbency,result,total money,district
U.S. Representative,David Secor,DEM,CA,Challenger,Lost-General,290.1,50
State Representative,Jack Guerrero,REP,CA,Open,Lost-General,245.69,63
U.S. Representative,Jenny Worman,REP,CA,Challenger,Lost-Top Two Primary,210.0,28
U.S. Representative,Douglas Arthur Tuma,LIB,CA,Challenger,Lost-Top Two Primary,200.0,7
U.S. Representative,Jeff Edward Taylor,REP,CA,Challenger,Lost-General,100.0,20
State Representative,Eileen Macenery,DEM,CA,Challenger,Lost-General,0.24,44
Superior Court District Lassen County,Michele Verderosa,IND,CA,Incumbent,Default Winner-General,0.0,nan
U.S. Representative,John Lewallen,IND,CA,Open,Lost-Top Two Primary,-4706.86,2
State Representative,Charley Hooper,LIB,CA,Open,Lost-Top Two Primary,0.0,1
State Representative,Firenza Xuan Pini,DEM,CA,Challenger,Lost-Top Two Primary,0.0,2
State Representative,Pamela Elizondo,GRN,CA,Challenger,Lost-Top Two Primary,0.0,2
State Representative,Kevin Lancaster,REP,CA,Open,Lost-Top Two Primary,0.0,5
State Representative,Janice Marlae Bonser,LIB,CA,Open,Lost-Top Two Primary,0.0,8
State Representative,Tom Santos,DEM,CA,Challenger,Lost-Top Two Primary,0.0,9
State Representative,T Weber,PEACE & FREEDOM,CA,Challenger,Lost-Top Two Primary,0.0,9
State Representative,Peter Mancus,REP,CA,Challenger,Lost-Top Two Primary,0.0,10
State Representative,James Pan,DEM,CA,Open,Lost-Top Two Primary,0.0,19
State Representative,Matthew Del Carlo,REP,CA,Open,Lost-Top Two Primary,0.0,19
State Representative,Geby Espinosa,DEM,CA,Challenger,Lost-Top Two Primary,0.0,24
State Representative,David Thomas,REP,CA,Open,Lost-Top Two Primary,0.0,32
State Representative,Margie Margarita Carranza,REP,CA,Open,Lost-Top Two Primary,0.0,39
State Representative,Jeane Ensley,REP,CA,Open,Lost-Top Two Primary,0.0,47
State Representative,Richard Friedberg,DEM,CA,Open,Lost-Top Two Primary,0.0,51
State Representative,Oscar Gutierrez,DEM,CA,Open,Lost-Top Two Primary,0.0,51
State Representative,Ray Moors,DEM,CA,Challenger,Lost-Top Two Primary,0.0,52
State Representative,Michael Aldapa,DEM,CA,Challenger,Lost-Top Two Primary,0.0,53
State Representative,Roger Young,DEM,CA,Challenger,Lost-Top Two Primary,0.0,53
State Representative,Sultan Ahmad,DEM,CA,Open,Lost-Top Two Primary,0.0,58
State Representative,Armenak Nouridjanian,DEM,CA,Open,Lost-Top Two Primary,0.0,59
State Representative,Francisco Barragan,DEM,CA,Open,Lost-Top Two Primary,0.0,69
State Representative,Albert Ayala,DEM,CA,Open,Lost-Top Two Primary,0.0,72
State Representative,Catherine Jennet Stebbins,DEM,CA,Open,Lost-Top Two Primary,0.0,13
State Representative,Joseph Antonelli Rosas,NO PARTY AFFILIATION,CA,Challenger,Lost-Top Two Primary,0.0,24
State Representative,Mike Meza,NO PARTY AFFILIATION,CA,Challenger,Lost-Top Two Primary,0.0,48
State Representative,Fredy De Leon,NO PARTY AFFILIATION,CA,Open,Lost-Top Two Primary,0.0,61
State Senator,Bogdan Ambrozewicz,NO PARTY AFFILIATION,CA,Challenger,Lost-Top Two Primary,0.0,1
State Representative,Mark Gilham,REP,CA,Open,Lost-General,0.0,22
State Representative,Jonathon Louis Sosa,DEM,CA,Challenger,Lost-General,0.0,26
State Representative,Jay Stern,REP,CA,Open,Lost-General,0.0,46
State Representative,Mervin Leon Evans,DEM,CA,Challenger,Lost-General,0.0,62
State Representative,Christina Avalos,DEM,CA,Challenger,Lost-General,0.0,68
State Senator,Julie Griffith-Flatter,DEM,CA,Challenger,Lost-General,0.0,1
State Representative,Jafri,REP,CA,Open,Lost-General,0.0,13
State Senator,Mary Catherine McIlroy,PEACE & FREEDOM,CA,Challenger,Lost-General,0.0,9
State Senator,Lee Chauser,PEACE & FREEDOM,CA,Open,Lost-General,0.0,33
State Senator,Benjamin Emery,NO PARTY AFFILIATION,CA,Open,Lost-Top Two Primary,0.0,4
U.S. Representative,David Peterson,DEM,CA,Open,Lost-Top Two Primary,0.0,12
U.S. Representative,Ronald Paul Kabat,IND,CA,Challenger,Lost-Top Two Primary,0.0,20
U.S. Representative,Richard Valdez,DEM,CA,Open,Lost-Top Two Primary,0.0,29
U.S. Representative,Terri Linnell,REP,CA,Challenger,Lost-Top Two Primary,0.0,50
U.S. Representative,John Cilley Stewart,REP,CA,Challenger,Lost-Top Two Primary,0.0,5
U.S. Representative,Anna Nevenic,DEM,CA,Open,Lost-Top Two Primary,0.0,41
U.S. Representative,Cheryl Sudduth,DEM,CA,Challenger,Lost-Top Two Primary,0.0,11
U.S. Representative,Jonathan Ryan Kalbfeld,DEM,CA,Challenger,Lost-Top Two Primary,0.0,28
