Candidate,Party,State,Office,Incumbency,Result,Total Money
"MANGIPUDI, LATHA",DEMOCRATIC,NH,HOUSE DISTRICT HILLSBOROUGH 035,Open,Won-General,15036.89
"HEATH, MARY P",DEMOCRATIC,NH,HOUSE DISTRICT HILLSBOROUGH 014,Open,Won-General,7126.00
"HUTCHINSON, WINFRED (WIN)",REPUBLICAN,NH,HOUSE DISTRICT HILLSBOROUGH 009,Open,Lost-General,3785.00
"MERRILL, AMANDA A",DEMOCRATIC,NH,HOUSE DISTRICT STRAFFORD 006,Open,Won-General,3740.00
"BROWN, PAMELA (PAM)",DEMOCRATIC,NH,HOUSE DISTRICT HILLSBOROUGH 031,Open,Won-General,3326.92
"CONVERSE, LARRY",DEMOCRATIC,NH,HOUSE DISTRICT SULLIVAN 004,Open,Lost-General,3123.66
"ONEIL, WILLIAM J",DEMOCRATIC,NH,HOUSE DISTRICT HILLSBOROUGH 009,Open,Won-General,3084.01
"SILVA, PETER (PETE)",REPUBLICAN,NH,HOUSE DISTRICT HILLSBOROUGH 035,Open,Lost-General,2050.00
"OSGOOD, PHILIP (JOE)",REPUBLICAN,NH,HOUSE DISTRICT SULLIVAN 004,Open,Won-General,1339.15
"TERRIO, ROSS W",REPUBLICAN,NH,HOUSE DISTRICT HILLSBOROUGH 014,Open,Lost-General,453.04
"VAN TWUYVER, ELIZABETH",REPUBLICAN,NH,HOUSE DISTRICT HILLSBOROUGH 031,Open,Lost-General,0.00
"LEPKOWSKI, DIEDRE",REPUBLICAN,NH,HOUSE DISTRICT STRAFFORD 006,Open,Lost-General,0.00
