Candidate,Party,State,Office,Incumbency,Result,Total Money
"CHRISTIE, CHRISTOPHER J (CHRIS) & GUADAGNO, KIM",REPUBLICAN,NJ,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Won-General,20259596.55
"BOOKER, CORY A",DEMOCRATIC,NJ,US SENATE DISTRICT NJ SW-CLASS II,Open,Won-General,12864932.00
"BUONO, BARBARA & SILVA, MILLY",DEMOCRATIC,NJ,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,6136458.07
"SWEENEY, STEPHEN M",DEMOCRATIC,NJ,SENATE DISTRICT 003,Incumbent,Won-General,1353524.55
"LESNIAK, RAYMOND J",DEMOCRATIC,NJ,SENATE DISTRICT 020,Incumbent,Won-General,1144433.26
"BRAMNICK, JON M",REPUBLICAN,NJ,ASSEMBLY DISTRICT 021,Incumbent,Won-General,881304.91
"NORCROSS, DONALD",DEMOCRATIC,NJ,SENATE DISTRICT 005,Incumbent,Won-General,880594.30
"SINGLETON, TROY E",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 007,Incumbent,Won-General,857362.73
"GREENWALD, LOUIS D",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 006,Incumbent,Won-General,827105.78
"KEAN JR, THOMAS H",REPUBLICAN,NJ,SENATE DISTRICT 021,Incumbent,Won-General,803789.96
"SIMON, DONNA M",REPUBLICAN,NJ,ASSEMBLY DISTRICT 016,Incumbent,Won-General,747042.05
"SARLO, PAUL A",DEMOCRATIC,NJ,SENATE DISTRICT 036,Incumbent,Won-General,696200.37
"WISNIEWSKI, JOHN S",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 019,Incumbent,Won-General,671673.24
"OTOOLE, KEVIN J",REPUBLICAN,NJ,SENATE DISTRICT 040,Incumbent,Won-General,664034.70
"WHELAN, JAMES",DEMOCRATIC,NJ,SENATE DISTRICT 002,Incumbent,Won-General,657589.71
"GORDON, ROBERT M (BOB)",DEMOCRATIC,NJ,SENATE DISTRICT 038,Incumbent,Won-General,619999.29
"SCHAER, GARY S",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 036,Incumbent,Won-General,610335.17
"TRUNK, NIKI A",REPUBLICAN,NJ,SENATE DISTRICT 003,Challenger,Lost-General,596715.53
"OLIVER, SHEILA Y",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 034,Incumbent,Won-General,551223.17
"CODEY, RICHARD J",DEMOCRATIC,NJ,SENATE DISTRICT 027,Incumbent,Won-General,542839.37
"ALONSO, FERNANDO A",REPUBLICAN,NJ,SENATE DISTRICT 038,Challenger,Won-General,540281.99
"PRIETO, VINCENT",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 032,Incumbent,Won-General,536557.95
"KYRILLOS JR, JOSEPH M",REPUBLICAN,NJ,SENATE DISTRICT 013,Incumbent,Won-General,486700.13
"INVERSO, PETER A",REPUBLICAN,NJ,SENATE DISTRICT 014,Challenger,Lost-General,453105.47
"BURZICHELLI, JOHN J",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 003,Incumbent,Won-General,450158.00
"SACCO, NICHOLAS J",DEMOCRATIC,NJ,SENATE DISTRICT 032,Incumbent,Won-General,441517.75
"GREENSTEIN, LINDA R",DEMOCRATIC,NJ,SENATE DISTRICT 014,Incumbent,Won-General,440891.15
"BALLES, FRANK X",REPUBLICAN,NJ,SENATE DISTRICT 002,Challenger,Lost-General,437812.65
"DEANGELO, WAYNE P",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 014,Incumbent,Won-General,431561.52
"CONAWAY JR, HERBERT C",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 007,Incumbent,Won-General,428957.73
"GILL, NIA H",DEMOCRATIC,NJ,SENATE DISTRICT 034,Incumbent,Won-General,415017.42
"CRYAN, JOSEPH",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 020,Incumbent,Won-General,401127.00
"ODONNELL, JASON",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 031,Incumbent,Won-General,372260.00
"BECK, JENNIFER",REPUBLICAN,NJ,SENATE DISTRICT 011,Incumbent,Won-General,371691.37
"SCHMIDT, SUSAN ANDELIZZI",REPUBLICAN,NJ,SENATE DISTRICT 001,Challenger,Lost-General,365817.15
"BARNES III, PETER J",DEMOCRATIC,NJ,SENATE DISTRICT 018,Open,Won-General,347318.40
"RIBLE, DAVID P",REPUBLICAN,NJ,ASSEMBLY DISTRICT 030,Incumbent,Won-General,346788.09
"VITALE, JOSEPH F",DEMOCRATIC,NJ,SENATE DISTRICT 019,Incumbent,Won-General,338011.70
"CORFIELD, MARIE",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 016,Challenger,Lost-General,336574.98
"POU, NELIDA (NELLIE)",DEMOCRATIC,NJ,SENATE DISTRICT 035,Incumbent,Won-General,334689.16
"SINGER, ROBERT W",REPUBLICAN,NJ,SENATE DISTRICT 030,Incumbent,Won-General,332615.19
"BENSON, DANIEL R",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 014,Incumbent,Won-General,320846.54
"SCUTARI, NICHOLAS P",DEMOCRATIC,NJ,SENATE DISTRICT 022,Incumbent,Won-General,317536.24
"OROHO, STEVEN V",REPUBLICAN,NJ,SENATE DISTRICT 024,Incumbent,Won-General,308197.35
"GREEN, GERALD (JERRY)",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 022,Incumbent,Won-General,303662.24
"SMITH, ROBERT (BOB)",DEMOCRATIC,NJ,SENATE DISTRICT 017,Incumbent,Won-General,297676.00
"VAN DREW, JEFF",DEMOCRATIC,NJ,SENATE DISTRICT 001,Incumbent,Won-General,290378.33
"EGAN, JOSEPH V",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 017,Incumbent,Won-General,278328.33
"CARDINALE, S GERALD",REPUBLICAN,NJ,SENATE DISTRICT 039,Incumbent,Won-General,275968.70
"EUSTACE, TIMOTHY J",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 038,Incumbent,Won-General,268830.25
"DIEGNAN JR, PATRICK J",DEMOCRATIC,NJ,ASSEMBLY DISTRICT 018,Incumbent,Won-General,264260.21
"WEINBERG, LORETTA",DEMOCRATIC,NJ,SENATE DISTRICT 037,Incumbent,Won-General,262695.00
"MADDEN, FRED H",DEMOCRATIC,NJ,SENATE DISTRICT 004,Incumbent,Won-General,258837.00
"BROWN, CHRISTOPHER A",REPUBLICAN,NJ,ASSEMBLY DISTRICT 002,Incumbent,Won-General,257735.82
"BEACH, JAMES",DEMOCRATIC,NJ,SENATE DISTRICT 006,Incumbent,Won-General,251820.66
"BUCCO, ANTHONY R",REPUBLICAN,NJ,SENATE DISTRICT 025,Incumbent,Won-General,251655.84
"FIOCCHI SR, SAMUEL L",REPUBLICAN,NJ,ASSEMBLY DISTRICT 001,Challenger,Won-General,246625.20
