office,candidate,party,state,incumbency,result,total money,district
State Senator,James Holzapfel,REP,NJ,Incumbent,Won-General,203064.22,10
State Representative,Ralph Caputo,DEM,NJ,Incumbent,Won-General,202499.79,28
State Representative,Craig Coughlin,DEM,NJ,Incumbent,Won-General,181680.59,19
State Senator,David Deweese,REP,NJ,Challenger,Lost-General,179914.41,1
State Senator,Dawn Marie Addiego,REP,NJ,Incumbent,Won-General,176757.1,8
State Representative,Mila Jasey,DEM,NJ,Incumbent,Won-General,176223.22,27
State Representative,Valerie Vainieri Huttle,DEM,NJ,Incumbent,Won-General,175073.44,37
State Representative,Gary Chiusano,REP,NJ,Incumbent,Won-General,163845.01,24
State Representative,Marlene Caride,DEM,NJ,Challenger,Won-General,163521.43,36
State Representative,Alison Littell McHose,REP,NJ,Incumbent,Won-General,160810.05,24
State Representative,Celeste Riley,DEM,NJ,Incumbent,Won-General,157035.64,3
State Representative,Gilbert Wilson,DEM,NJ,Incumbent,Won-General,155986.23,5
State Representative,Ronald Dancer,REP,NJ,Open,Won-General,138537.58,12
State Representative,Amy Handlin,REP,NJ,Incumbent,Won-General,129590.52,13
State Representative,Gordon Johnson,DEM,NJ,Incumbent,Won-General,126629.5,37
State Representative,Nancy Munoz,REP,NJ,Incumbent,Won-General,125086.38,21
State Representative,Angel Fuentes,DEM,NJ,Incumbent,Won-General,122759.71,5
State Representative,Robert Clifton,REP,NJ,Open,Won-General,120429.3,12
State Representative,Ruben Ramos Jr.,DEM,NJ,Incumbent,Won-General,107060.0,33
State Representative,Joe Camarota,DEM,NJ,Challenger,Lost-General,104074.08,16
State Representative,Marie Corfield,DEM,NJ,Challenger,Lost-General,97241.12,16
State Representative,Nelson Albano,DEM,NJ,Incumbent,Won-General,95040.0,1
State Representative,Reed Gusciora,DEM,NJ,Incumbent,Won-General,92212.03,15
State Representative,Grace Spencer,DEM,NJ,Incumbent,Won-General,92100.93,29
State Senator,Michael Doherty,REP,NJ,Incumbent,Won-General,88110.0,23
State Representative,Gabriela Mosquera,DEM,NJ,Challenger,Won-General,85140.0,4
State Senator,Frederick Carlton Lewis,DEM,NJ,Challenger,Withdrew-General,83966.49,8
State Representative,Vin Gopal,DEM,NJ,Challenger,Lost-General,83120.39,11
State Representative,Gregory McGuckin,REP,NJ,Challenger,Won-General,81892.4,10
State Representative,Patrick Delany,REP,NJ,Incumbent,Withdrew-General,77445.0,8
State Representative,Cassandra Lazzara,DEM,NJ,Challenger,Lost-General,75026.86,40
State Representative,Benjie Wimberly,DEM,NJ,Open,Won-General,73519.0,35
State Representative,Shavonda Sumter,DEM,NJ,Open,Won-General,70702.5,35
State Representative,Scott Rudder,REP,NJ,Incumbent,Won-General,67901.0,8
State Representative,David Wolfe,REP,NJ,Incumbent,Won-General,65827.42,10
State Representative,Michael Patrick Carroll,REP,NJ,Incumbent,Won-General,58937.37,25
State Representative,Peter Biondi,REP,NJ,Incumbent,Won-General,54420.0,16
State Senator,Maureen Vella,DEM,NJ,Challenger,Lost-General,53516.95,16
State Representative,Charlotte Vandervalk,REP,NJ,Incumbent,Withdrew-General,49809.67,39
State Representative,Samuel Fiocchi Sr.,REP,NJ,Challenger,Lost-General,48058.51,1
State Representative,Angelica Jimenez,DEM,NJ,Challenger,Won-General,47654.18,32
State Representative,Cleopatra Tucker,DEM,NJ,Incumbent,Won-General,43421.47,28
State Representative,David Russo,REP,NJ,Incumbent,Won-General,40965.0,40
State Representative,Erik Peterson,REP,NJ,Incumbent,Won-General,39183.33,23
State Representative,Daniel Jacobson,IND,NJ,Challenger,Lost-General,38922.25,11
State Senator,Gail Cook,DEM,NJ,Challenger,Lost-General,36941.81,7
State Representative,Suzanne Walters,REP,NJ,Challenger,Lost-General,36838.51,1
State Representative,Damon Tyner,DEM,NJ,Challenger,Lost-General,35750.0,2
State Senator,Teresa Ruiz,DEM,NJ,Incumbent,Won-General,34562.0,29
