Candidate,Party,State,Office,Incumbency,Result,Total Money
"LEATHERMAN SR, HUGH KENNETH",REPUBLICAN,SC,SENATE DISTRICT 031,Incumbent,Won-General,602043.00
"WINGATE, KEN",REPUBLICAN,SC,SENATE DISTRICT 022,Open,Lost-General,509402.03
"LOURIE, JOEL B",DEMOCRATIC,SC,SENATE DISTRICT 022,Open,Won-General,476818.81
"MCCONNELL, GLENN F",REPUBLICAN,SC,SENATE DISTRICT 041,Incumbent,Won-General,413798.61
"CROMER, RONNIE W",REPUBLICAN,SC,SENATE DISTRICT 018,Incumbent,Won-General,396091.04
"CAMPSEN III, GEORGE (CHIP)",REPUBLICAN,SC,SENATE DISTRICT 043,Open,Won-General,355917.83
"KNOTTS JR, JOHN M (JAKE)",REPUBLICAN,SC,SENATE DISTRICT 023,Incumbent,Won-General,353432.47
"WILLIAMS, KENT M",DEMOCRATIC,SC,SENATE DISTRICT 030,Open,Won-General,240967.88
"ELLIOTT, DICK",DEMOCRATIC,SC,SENATE DISTRICT 028,Incumbent,Won-General,231824.04
"JONES, DICKIE",REPUBLICAN,SC,SENATE DISTRICT 035,Challenger,Lost-General,220968.00
"MALLOY, GERALD",DEMOCRATIC,SC,SENATE DISTRICT 029,Incumbent,Won-General,215659.09
"COURSON, JOHN E",REPUBLICAN,SC,SENATE DISTRICT 020,Incumbent,Won-General,210350.04
"VERDIN, DANNY",REPUBLICAN,SC,SENATE DISTRICT 009,Incumbent,Won-General,203128.23
"WILKINS, DAVID H",REPUBLICAN,SC,HOUSE DISTRICT 024,Incumbent,Won-General,197149.04
"SHEHEEN, VINCENT A",DEMOCRATIC,SC,SENATE DISTRICT 027,Incumbent,Won-General,195789.04
"HAWKINS, JOHN DAVID",REPUBLICAN,SC,SENATE DISTRICT 012,Incumbent,Won-General,193233.14
"SETZLER, NIKKI GILES",DEMOCRATIC,SC,SENATE DISTRICT 026,Incumbent,Won-General,176838.00
"MOORE, THOMAS L (TOMMY)",DEMOCRATIC,SC,SENATE DISTRICT 025,Incumbent,Won-General,156225.54
"RANKIN, LUKE A",REPUBLICAN,SC,SENATE DISTRICT 033,Incumbent,Won-General,156056.59
"HARRELL JR, ROBERT W (BOBBY)",REPUBLICAN,SC,HOUSE DISTRICT 114,Incumbent,Won-General,153845.98
"EDGE, TRACY R",REPUBLICAN,SC,HOUSE DISTRICT 104,Incumbent,Won-General,140772.82
"WUKELA, STEVEN J",DEMOCRATIC,SC,SENATE DISTRICT 031,Challenger,Lost-General,140754.25
"LAND III, JOHN C",DEMOCRATIC,SC,SENATE DISTRICT 036,Incumbent,Won-General,135868.83
"SMITH, DOUG",REPUBLICAN,SC,HOUSE DISTRICT 032,Incumbent,Won-General,130957.79
"MCGILL, JOHN (YANCEY)",DEMOCRATIC,SC,SENATE DISTRICT 032,Incumbent,Won-General,130890.24
"BRADY, JOAN B",REPUBLICAN,SC,HOUSE DISTRICT 078,Open,Won-General,126999.13
"FORD, ROBERT I",DEMOCRATIC,SC,SENATE DISTRICT 042,Incumbent,Won-General,119791.76
"SMITH, CHARLES W",DEMOCRATIC,SC,HOUSE DISTRICT 119,Challenger,Lost-General,116536.77
"LEVENTIS, PHIL",DEMOCRATIC,SC,SENATE DISTRICT 035,Incumbent,Won-General,115525.05
"KELLY, STEVE",REPUBLICAN,SC,SENATE DISTRICT 027,Challenger,Lost-General,113916.70
"REESE, GLENN",DEMOCRATIC,SC,SENATE DISTRICT 011,Incumbent,Won-General,113185.19
"CEIPS, CATHERINE C",REPUBLICAN,SC,HOUSE DISTRICT 124,Incumbent,Won-General,104787.36
"SCOTT, RANDY",REPUBLICAN,SC,SENATE DISTRICT 038,Open,Won-General,103541.28
"GROOMS, LARRY",REPUBLICAN,SC,SENATE DISTRICT 037,Incumbent,Won-General,102297.87
"NORMAN, RALPH W",REPUBLICAN,SC,HOUSE DISTRICT 048,Open,Won-General,99197.50
"THOMPSON, MICHAEL D",REPUBLICAN,SC,HOUSE DISTRICT 009,Incumbent,Won-General,97597.71
"HUTTO, C BRADLEY (BRAD)",DEMOCRATIC,SC,SENATE DISTRICT 040,Incumbent,Won-General,93213.12
"ODELL, WILLIAM H",REPUBLICAN,SC,SENATE DISTRICT 004,Incumbent,Won-General,91791.04
"PEELER JR, HARVEY SMITH",REPUBLICAN,SC,SENATE DISTRICT 014,Incumbent,Won-General,91509.23
"KAHN, JUSTIN",DEMOCRATIC,SC,SENATE DISTRICT 041,Challenger,Lost-General,89742.30
