Candidate,Party,State,Office,Incumbency,Result,Total Money
"WILDER SR, JOHN S",DEMOCRATIC,TN,SENATE DISTRICT 026,Incumbent,Won-General,679635.80
"HERRON, ROY BRASFIELD",DEMOCRATIC,TN,SENATE DISTRICT 024,Incumbent,Won-General,555929.87
"GRAVES, JO ANN",DEMOCRATIC,TN,SENATE DISTRICT 018,Incumbent,Lost-General,528742.21
"TRAIL, LARRY",DEMOCRATIC,TN,SENATE DISTRICT 016,Incumbent,Lost-General,467742.16
"WOODSON, JAMIE",REPUBLICAN,TN,SENATE DISTRICT 006,Open,Won-General,376931.74
"BLACK, DIANE LYNN",REPUBLICAN,TN,SENATE DISTRICT 018,Challenger,Won-General,359559.90
"TRACY, JIM",REPUBLICAN,TN,SENATE DISTRICT 016,Challenger,Won-General,357247.67
"KURITA, ROSALIND",DEMOCRATIC,TN,SENATE DISTRICT 022,Incumbent,Won-General,353883.15
"KILBY, TOMMY",DEMOCRATIC,TN,SENATE DISTRICT 012,Incumbent,Won-General,312408.72
"NAIFEH, JIMMY",DEMOCRATIC,TN,HOUSE DISTRICT 081,Incumbent,Won-General,287241.00
"SHARP, JERRY",REPUBLICAN,TN,SENATE DISTRICT 012,Challenger,Lost-General,268468.63
"NORRIS, MARK",REPUBLICAN,TN,SENATE DISTRICT 032,Incumbent,Won-General,248188.00
"RAMSEY, RONALD",REPUBLICAN,TN,SENATE DISTRICT 002,Incumbent,Won-General,246465.00
"HEAD, TOMMY",DEMOCRATIC,TN,HOUSE DISTRICT 068,Incumbent,Lost-General,231077.22
"COHEN, STEPHEN I",DEMOCRATIC,TN,SENATE DISTRICT 030,Incumbent,Won-General,199614.67
"FINNEY, RAYMOND",REPUBLICAN,TN,SENATE DISTRICT 008,Open,Won-General,197763.86
"DUBOIS, JAMES THOMAS (TOM)",REPUBLICAN,TN,HOUSE DISTRICT 064,Incumbent,Won-General,188325.42
"STALLINGS, RON",REPUBLICAN,TN,SENATE DISTRICT 026,Challenger,Lost-General,182983.94
"HARGETT, TRE",REPUBLICAN,TN,HOUSE DISTRICT 097,Incumbent,Won-General,170263.00
"COLEMAN, KENT",DEMOCRATIC,TN,HOUSE DISTRICT 049,Incumbent,Won-General,166034.00
"CRUTCHFIELD, WARD",DEMOCRATIC,TN,SENATE DISTRICT 010,Incumbent,Won-General,163658.98
"DERRYBERRY, GUY Z",DEMOCRATIC,TN,HOUSE DISTRICT 064,Challenger,Lost-General,144259.09
"HAYNES, JOE M",DEMOCRATIC,TN,SENATE DISTRICT 020,Incumbent,Won-General,139396.13
"CANNON JR, JESSEE JAMES",REPUBLICAN,TN,HOUSE DISTRICT 081,Challenger,Lost-General,137692.53
"KYLE JR, JAMES F",DEMOCRATIC,TN,SENATE DISTRICT 028,Incumbent,Won-General,136070.00
"COOPER, JERRY W",DEMOCRATIC,TN,SENATE DISTRICT 014,Incumbent,Won-General,133424.99
"MCKAMEY, WM H (JOHN)",DEMOCRATIC,TN,SENATE DISTRICT 002,Challenger,Lost-General,131342.79
"MCMILLAN, KIM",DEMOCRATIC,TN,HOUSE DISTRICT 067,Incumbent,Won-General,130840.05
"YOKLEY, EDDIE",DEMOCRATIC,TN,HOUSE DISTRICT 011,Incumbent,Won-General,127606.30
"INGRUM, JAY",DEMOCRATIC,TN,HOUSE DISTRICT 045,Open,Lost-General,124087.00
"LITZ, JOHN",DEMOCRATIC,TN,HOUSE DISTRICT 010,Incumbent,Won-General,118896.00
"FERGUSON, DENNIS",DEMOCRATIC,TN,HOUSE DISTRICT 032,Incumbent,Won-General,115964.00
"HARGROVE, JERE L",DEMOCRATIC,TN,HOUSE DISTRICT 042,Incumbent,Won-General,113222.00
"FOWLKES, JOE",DEMOCRATIC,TN,HOUSE DISTRICT 065,Incumbent,Won-General,112758.00
"MAGGART, DEBRA YOUNG",REPUBLICAN,TN,HOUSE DISTRICT 045,Open,Won-General,107791.47
"CRIDER, CHRIS",REPUBLICAN,TN,HOUSE DISTRICT 079,Incumbent,Won-General,101848.08
"DEBERRY, LOIS M",DEMOCRATIC,TN,HOUSE DISTRICT 091,Incumbent,Won-General,99775.00
"HENSLEY, JOSEPH (JOEY)",REPUBLICAN,TN,HOUSE DISTRICT 070,Incumbent,Won-General,98278.28
