Candidate,Party,State,Office,Incumbency,Result,Total Money
"HOEVEN III, JOHN HENRY & DALRYMPLE III, JOHN S (JACK)",REPUBLICAN,ND,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Won-General,1807937.57
"SATROM, JOSEPH A & MATHERN, DEB",DEMOCRATIC-NPL,ND,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,503943.11
"STENEHJEM, WAYNE K",REPUBLICAN,ND,ATTORNEY GENERAL,Incumbent,Won-General,206402.79
"JOHNSON, ROGER",DEMOCRATIC-NPL,ND,AGRICULTURE COMMISSIONER,Incumbent,Won-General,203037.00
"POOLMAN, JIM",REPUBLICAN,ND,INSURANCE COMMISSIONER,Incumbent,Won-General,143000.80
"GOEHRING, DOUG",REPUBLICAN,ND,AGRICULTURE COMMISSIONER,Challenger,Lost-General,122013.94
"EDISON, BRENT",DEMOCRATIC-NPL,ND,AUDITOR,Challenger,Lost-General,85788.60
"CLAYBURGH, RICK",REPUBLICAN,ND,TAX COMMISSIONER,Incumbent,Won-General,66914.87
"MEYER, DEAN",DEMOCRATIC-NPL,ND,TREASURER,Open,Lost-General,66592.00
"SCHMIDT, KELLY L",REPUBLICAN,ND,TREASURER,Open,Won-General,62238.85
"CRAMER, KEVIN J",REPUBLICAN,ND,PUBLIC SERVICE COMMISSIONER,Incumbent,Won-General,51869.00
"JAEGER, ALVIN A (AL)",REPUBLICAN,ND,SECRETARY OF STATE,Incumbent,Won-General,25739.00
"BARNES, TERRY",DEMOCRATIC-NPL,ND,INSURANCE COMMISSIONER,Challenger,Lost-General,20876.08
"SCHOENWALD, BRUCE",DEMOCRATIC-NPL,ND,ATTORNEY GENERAL,Challenger,Lost-General,19691.00
"STENEHJEM, ROBERT",REPUBLICAN,ND,SENATE DISTRICT 030,Incumbent,Won-General,19425.00
"SANSTEAD, WAYNE G",NONPARTISAN,ND,SUPERINTENDENT OF PUBLIC INSTRUCTION,Incumbent,Won-General,15521.00
"MELBY, DOUGLAS",DEMOCRATIC-NPL,ND,SECRETARY OF STATE,Challenger,Lost-General,14865.00
"JACOBSON, KEITH",NONPARTISAN,ND,SUPERINTENDENT OF PUBLIC INSTRUCTION,Challenger,Lost-General,14323.34
"BARNES, GEORGE H",DEMOCRATIC-NPL,ND,SENATE DISTRICT 012,Challenger,Lost-General,13860.00
"EVERY, MICHAEL A",DEMOCRATIC-NPL,ND,TAX COMMISSIONER,Challenger,Lost-General,13338.48
"GUMERINGER, RON",DEMOCRATIC-NPL,ND,PUBLIC SERVICE COMMISSIONER,Challenger,Lost-General,10213.00
"HACKER, NICK",REPUBLICAN,ND,SENATE DISTRICT 042,Challenger,Won-General,9467.13
"PETERSON, ROBERT R (BOB)",REPUBLICAN,ND,AUDITOR,Incumbent,Won-General,9182.00
"ANDRIST, JOHN M",REPUBLICAN,ND,SENATE DISTRICT 002,Incumbent,Won-General,8480.00
"KLEIN, FRANK",REPUBLICAN,ND,HOUSE DISTRICT 036,Incumbent,Lost-General,8431.23
"SEEBERG, HAL",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 032,Challenger,Lost-General,8300.00
"WEBER, DICK",DEMOCRATIC-NPL,ND,SENATE DISTRICT 032,Challenger,Lost-General,7475.00
"NETHING, DAVE",REPUBLICAN,ND,SENATE DISTRICT 012,Incumbent,Won-General,7468.86
"OCONNELL, DAVID PAUL",DEMOCRATIC-NPL,ND,SENATE DISTRICT 006,Incumbent,Won-General,7375.00
"FLAKOLL, TIM",REPUBLICAN,ND,SENATE DISTRICT 044,Incumbent,Won-General,7363.65
"CONRAD, KARI LEE",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 003,Challenger,Won-General,6875.00
"PLOVITZ, MICHAEL F",DEMOCRATIC-NPL,ND,SENATE DISTRICT 042,Incumbent,Lost-General,6400.00
"OWENS, MARK S",REPUBLICAN,ND,HOUSE DISTRICT 018,Challenger,Won-General,5980.00
"URLACHER, HERB",REPUBLICAN,ND,SENATE DISTRICT 036,Incumbent,Won-General,5609.23
"NESTER, MARY",REPUBLICAN,ND,HOUSE DISTRICT 003,Incumbent,Lost-General,5019.00
"PARSLEY, THOMAS R",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 038,Challenger,Lost-General,4849.00
"LEITNER, PHIL",REPUBLICAN,ND,HOUSE DISTRICT 024,Challenger,Lost-General,4786.55
"DIETRICH, DONALD D",REPUBLICAN,ND,HOUSE DISTRICT 042,Open,Won-General,4734.00
"HAAS, CB (BUCK)",REPUBLICAN,ND,HOUSE DISTRICT 036,Incumbent,Won-General,4477.73
"TRENBEATH, THOMAS L",REPUBLICAN,ND,SENATE DISTRICT 010,Incumbent,Won-General,4342.83
"WALL, JOHN D",REPUBLICAN,ND,HOUSE DISTRICT 025,Challenger,Won-General,4261.00
"AMERMAN, BILL",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 026,Incumbent,Won-General,4250.00
"MONSON, ERIC",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 044,Challenger,Lost-General,4150.00
"GRAVELINE, BILL",REPUBLICAN,ND,SENATE DISTRICT 018,Challenger,Lost-General,4000.00
"JENKINS, MICHAEL",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 044,Challenger,Lost-General,4000.00
"DEVER, DICK",REPUBLICAN,ND,SENATE DISTRICT 032,Incumbent,Won-General,3852.00
"TALLACKSON, HARVEY",DEMOCRATIC-NPL,ND,SENATE DISTRICT 016,Incumbent,Won-General,3825.00
"HORTER, STACEY",REPUBLICAN,ND,HOUSE DISTRICT 042,Open,Won-General,3737.00
"VIGESAA, DONALD W",REPUBLICAN,ND,HOUSE DISTRICT 023,Open,Won-General,3641.70
"ANDERSON, ARDEN C",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 025,Incumbent,Lost-General,3600.00
"SOLBERG, DORVAN",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 002,Incumbent,Won-General,3575.00
"SPLICHAL, MARY",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 032,Challenger,Lost-General,3561.00
"HOLTE, TIM",DEMOCRATIC-NPL,ND,SENATE DISTRICT 002,Challenger,Lost-General,3500.00
"BAKER, KEN",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 008,Challenger,Lost-General,3415.00
"CARLISLE, RON",REPUBLICAN,ND,HOUSE DISTRICT 030,Incumbent,Won-General,3350.00
"WILHELMI, LERITTA MAE",REPUBLICAN,ND,HOUSE DISTRICT 002,Challenger,Lost-General,3299.29
"COOK, DWIGHT C",REPUBLICAN,ND,SENATE DISTRICT 034,Incumbent,Won-General,3275.00
"KLEIN, JERRY",REPUBLICAN,ND,SENATE DISTRICT 014,Incumbent,Won-General,3250.00
"ROBINSON, LARRY",DEMOCRATIC-NPL,ND,SENATE DISTRICT 024,Incumbent,Won-General,3225.00
"MAHER, KEN F",DEMOCRATIC-NPL,ND,SENATE DISTRICT 038,Challenger,Lost-General,3099.00
"THORESON, BLAIR",REPUBLICAN,ND,HOUSE DISTRICT 044,Incumbent,Won-General,2938.65
"HAWKEN, KATHY",REPUBLICAN,ND,HOUSE DISTRICT 046,Incumbent,Won-General,2925.00
"HEITKAMP, JOEL C",DEMOCRATIC-NPL,ND,SENATE DISTRICT 026,Incumbent,Won-General,2925.00
"HEINRICH, DWAINE",REPUBLICAN,ND,HOUSE DISTRICT 012,Challenger,Lost-General,2907.34
"BRANDENBURG, MICHAEL DON",REPUBLICAN,ND,HOUSE DISTRICT 028,Challenger,Won-General,2901.95
"IVERSON, HARRY",REPUBLICAN,ND,SENATE DISTRICT 016,Challenger,Lost-General,2882.00
"BERGIAN, CHERYL",DEMOCRATIC-NPL,ND,SENATE DISTRICT 044,Challenger,Lost-General,2800.00
"DAMSCHEN, CHARLES (CHUCK)",REPUBLICAN,ND,HOUSE DISTRICT 010,Challenger,Won-General,2792.83
"DOSCH, MARK A",REPUBLICAN,ND,HOUSE DISTRICT 032,Incumbent,Won-General,2752.00
"FISCHER, TOM",REPUBLICAN,ND,SENATE DISTRICT 046,Incumbent,Won-General,2750.00
"WARNER, JOHN",DEMOCRATIC-NPL,ND,SENATE DISTRICT 004,Open,Won-General,2700.00
"HOYT, MILTON",REPUBLICAN,ND,SENATE DISTRICT 006,Challenger,Lost-General,2662.57
"MUELLER, PHIL",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 024,Incumbent,Won-General,2650.00
"TOLLEFSON, BEN",REPUBLICAN,ND,SENATE DISTRICT 038,Incumbent,Won-General,2650.00
"BELLEW, LARRY",REPUBLICAN,ND,HOUSE DISTRICT 038,Incumbent,Won-General,2575.00
"METCALF, RALPH",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 024,Incumbent,Won-General,2550.00
"FREBORG, LAYTON W",REPUBLICAN,ND,SENATE DISTRICT 008,Incumbent,Won-General,2539.29
"MJOEN, JODIE",REPUBLICAN,ND,HOUSE DISTRICT 006,Challenger,Lost-General,2500.00
"SKARPHOL, ROBERT J (BOB)",REPUBLICAN,ND,HOUSE DISTRICT 002,Incumbent,Won-General,2430.60
"RIEMERS, ROLAND & SANDERSON, MITCHELL S",INDEPENDENT,ND,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,2400.00
"ONSTAD, KENTON",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 004,Incumbent,Won-General,2375.00
"RUBY, DAN",REPUBLICAN,ND,HOUSE DISTRICT 038,Incumbent,Won-General,2350.00
"PORTER, TODD",REPUBLICAN,ND,HOUSE DISTRICT 034,Incumbent,Won-General,2325.00
"BELTER, WESLEY R",REPUBLICAN,ND,HOUSE DISTRICT 022,Incumbent,Won-General,2312.45
"WEISZ, ROBIN",REPUBLICAN,ND,HOUSE DISTRICT 014,Incumbent,Won-General,2208.00
"WRANGHAM, DWIGHT",REPUBLICAN,ND,HOUSE DISTRICT 008,Incumbent,Won-General,2189.29
"MEIER, LISA M",REPUBLICAN,ND,HOUSE DISTRICT 032,Incumbent,Won-General,2127.00
"WEILER, DAVE",REPUBLICAN,ND,HOUSE DISTRICT 030,Incumbent,Won-General,2050.00
"WINRICH, LONNY",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 018,Incumbent,Lost-General,2025.00
"KLEIN, MATTHEW M (MATT)",REPUBLICAN,ND,HOUSE DISTRICT 040,Incumbent,Won-General,1998.25
"DELZER, JEFF",REPUBLICAN,ND,HOUSE DISTRICT 008,Incumbent,Won-General,1989.29
"FROSETH, GLEN",REPUBLICAN,ND,HOUSE DISTRICT 006,Incumbent,Won-General,1983.00
"HERBEL, GIL",REPUBLICAN,ND,HOUSE DISTRICT 016,Incumbent,Won-General,1975.00
"CONLEY, COLE",REPUBLICAN,ND,HOUSE DISTRICT 012,Challenger,Lost-General,1960.34
"DEKREY, DUANE LEE",REPUBLICAN,ND,HOUSE DISTRICT 014,Challenger,Won-General,1958.00
"GLASSHEIM, ELIOT",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 018,Incumbent,Won-General,1925.00
"MONSON, DAVID",REPUBLICAN,ND,HOUSE DISTRICT 010,Incumbent,Won-General,1900.00
"ERBELE, ROBERT S",REPUBLICAN,ND,SENATE DISTRICT 028,Incumbent,Won-General,1876.95
"FREDERICKS, TERRY E",REPUBLICAN,ND,SENATE DISTRICT 004,Open,Lost-General,1850.00
"PRICE, CLARA SUE",REPUBLICAN,ND,HOUSE DISTRICT 040,Incumbent,Won-General,1748.25
"HANSON, LYLE L",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 012,Incumbent,Won-General,1725.00
"KROEBER, JOE",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 012,Incumbent,Won-General,1725.00
"HUNSKOR, BOB",DEMOCRATIC-NPL,ND,HOUSE DISTRICT 006,Incumbent,Won-General,1700.00
"KINGSBURY, JOYCE",REPUBLICAN,ND,HOUSE DISTRICT 016,Incumbent,Won-General,1700.00
"KRETSCHMAR, WILLIAM E",REPUBLICAN,ND,HOUSE DISTRICT 028,Incumbent,Won-General,1626.95
"KASPER, JAMES M",REPUBLICAN,ND,HOUSE DISTRICT 046,Incumbent,Won-General,1600.00
