Candidate,Party,State,Office,Incumbency,Result,Total Money
"MARKMAN, STEPHEN J",NONPARTISAN,MI,SUPREME COURT-KELLY SEAT & MARKMAN SEAT,Incumbent,Won-General,742371.22
"KELLY, MARILYN",NONPARTISAN,MI,SUPREME COURT-KELLY SEAT & MARKMAN SEAT,Incumbent,Won-General,669971.26
"WENKE, LORENCE",REPUBLICAN,MI,HOUSE DISTRICT 063,Incumbent,Won-General,431949.04
"MILOSCH, MATT",REPUBLICAN,MI,HOUSE DISTRICT 055,Incumbent,Lost-General,314480.43
"ANGERER, KATHY A",DEMOCRATIC,MI,HOUSE DISTRICT 055,Challenger,Won-General,298700.77
"MOORE, TIM",REPUBLICAN,MI,HOUSE DISTRICT 097,Challenger,Won-General,282830.75
"BAXTER, RICK",REPUBLICAN,MI,HOUSE DISTRICT 064,Open,Won-General,262602.71
"ABRAHAM, DAVID",REPUBLICAN,MI,HOUSE DISTRICT 057,Open,Lost-General,261258.72
"SPADE, DUDLEY",DEMOCRATIC,MI,HOUSE DISTRICT 057,Open,Won-General,250992.10
"SHELTROWN, JOEL A",DEMOCRATIC,MI,HOUSE DISTRICT 103,Open,Won-General,231410.58
"FARHAT, DAVID",REPUBLICAN,MI,HOUSE DISTRICT 091,Incumbent,Won-General,229984.63
"BYRUM, DIANNE",DEMOCRATIC,MI,HOUSE DISTRICT 067,Incumbent,Won-General,214972.32
"ELKINS, JENNIFER",DEMOCRATIC,MI,HOUSE DISTRICT 097,Incumbent,Lost-General,214306.22
"KEHRL, HERB",DEMOCRATIC,MI,HOUSE DISTRICT 056,Open,Won-General,210507.31
"BYRNES, PAMELA G",DEMOCRATIC,MI,HOUSE DISTRICT 052,Open,Won-General,197670.12
"GOSSELIN, ROBERT",REPUBLICAN,MI,HOUSE DISTRICT 041,Open,Won-General,186010.00
"CHANDLER, BETH",REPUBLICAN,MI,HOUSE DISTRICT 067,Challenger,Lost-General,181447.14
"ROBERTSON, DAVID",REPUBLICAN,MI,HOUSE DISTRICT 051,Incumbent,Won-General,179103.40
"MORELLI, WILLIAM A",REPUBLICAN,MI,HOUSE DISTRICT 031,Open,Lost-General,170779.85
"YEKULIS JR, JOSEPH J",REPUBLICAN,MI,HOUSE DISTRICT 052,Open,Lost-General,167904.50
"BALL, RICHARD J",REPUBLICAN,MI,HOUSE DISTRICT 085,Open,Won-General,167742.85
"RENDON, BRUCE R",REPUBLICAN,MI,HOUSE DISTRICT 103,Open,Lost-General,165118.91
"LAW, DAVID",REPUBLICAN,MI,HOUSE DISTRICT 039,Open,Won-General,164752.38
"NOFS, MICHAEL L (MIKE)",REPUBLICAN,MI,HOUSE DISTRICT 062,Incumbent,Won-General,153739.06
"KAHN, ROGER N",REPUBLICAN,MI,HOUSE DISTRICT 094,Open,Won-General,151318.12
"MANOR, JOHN",REPUBLICAN,MI,HOUSE DISTRICT 056,Open,Lost-General,149961.44
"ROBINSON, STEVE",DEMOCRATIC,MI,HOUSE DISTRICT 051,Challenger,Lost-General,143882.49
"MUXLOW, PAUL",REPUBLICAN,MI,HOUSE DISTRICT 083,Open,Lost-General,142411.94
"GINOTTI, CARLO P",REPUBLICAN,MI,HOUSE DISTRICT 026,Open,Lost-General,137742.31
"MCDOWELL, GARY J",DEMOCRATIC,MI,HOUSE DISTRICT 107,Open,Won-General,137334.33
"VAGNOZZI, ALDO",DEMOCRATIC,MI,HOUSE DISTRICT 037,Incumbent,Won-General,133635.00
"MILLER, FREDERICK",DEMOCRATIC,MI,HOUSE DISTRICT 031,Open,Won-General,126095.00
"PROOS IV, JOHN M",REPUBLICAN,MI,HOUSE DISTRICT 079,Open,Won-General,124378.48
"TOBOCMAN, STEVE",DEMOCRATIC,MI,HOUSE DISTRICT 012,Incumbent,Won-General,123678.55
"DILLON, ANDY",DEMOCRATIC,MI,HOUSE DISTRICT 017,Open,Won-General,122810.40
"DONIGAN, MARIE",DEMOCRATIC,MI,HOUSE DISTRICT 026,Open,Won-General,122396.19
"VOLLENWEIDER, BILL",REPUBLICAN,MI,HOUSE DISTRICT 023,Challenger,Lost-General,119995.57
"GREEN, KEVIN",REPUBLICAN,MI,HOUSE DISTRICT 077,Open,Won-General,118654.87
"GILLARD, MATT",DEMOCRATIC,MI,HOUSE DISTRICT 106,Incumbent,Won-General,117978.50
"MORTIMER, LESLIE",REPUBLICAN,MI,HOUSE DISTRICT 065,Open,Won-General,115114.33
"CASPERSON, THOMAS A (TOM)",REPUBLICAN,MI,HOUSE DISTRICT 108,Incumbent,Won-General,114543.39
"NORTH, WALTER H",REPUBLICAN,MI,HOUSE DISTRICT 107,Open,Lost-General,112344.55
"LARGENT, WILLIAM",REPUBLICAN,MI,HOUSE DISTRICT 037,Challenger,Lost-General,111830.00
"SCHUITMAKER, TONYA L",REPUBLICAN,MI,HOUSE DISTRICT 080,Open,Won-General,111009.59
"GAFFNEY, EDWARD",REPUBLICAN,MI,HOUSE DISTRICT 001,Incumbent,Won-General,109083.19
"POWERS, MIKE",DEMOCRATIC,MI,HOUSE DISTRICT 085,Open,Lost-General,107619.45
"KOOIMAN, GERMAINE",REPUBLICAN,MI,HOUSE DISTRICT 075,Incumbent,Won-General,107263.16
"LAW, KATHLEEN",DEMOCRATIC,MI,HOUSE DISTRICT 023,Incumbent,Won-General,106744.12
"MOOLENAAR, JOHN R",REPUBLICAN,MI,HOUSE DISTRICT 098,Incumbent,Won-General,104866.80
"CAUL, BILL",REPUBLICAN,MI,HOUSE DISTRICT 099,Open,Won-General,104483.72
"HUNE, JOE",REPUBLICAN,MI,HOUSE DISTRICT 047,Incumbent,Won-General,102704.91
"DEROCHE, CRAIG M",REPUBLICAN,MI,HOUSE DISTRICT 038,Incumbent,Won-General,100900.00
"HILDENBRAND, DAVE",REPUBLICAN,MI,HOUSE DISTRICT 086,Open,Won-General,95342.45
"HUSK, DARRYL",REPUBLICAN,MI,HOUSE DISTRICT 017,Open,Lost-General,95023.49
"BRANDENBURG, JOHN M (JACK)",REPUBLICAN,MI,HOUSE DISTRICT 024,Incumbent,Won-General,94396.55
"LAJOY, PHILIP J",REPUBLICAN,MI,HOUSE DISTRICT 021,Incumbent,Won-General,92406.25
"DROLET, LEON",REPUBLICAN,MI,HOUSE DISTRICT 033,Incumbent,Won-General,91096.33
"POLIDORI, GINO H",DEMOCRATIC,MI,HOUSE DISTRICT 015,Open,Won-General,89668.94
"BIEDA, STEVE",DEMOCRATIC,MI,HOUSE DISTRICT 025,Incumbent,Won-General,89268.00
"GONZALES, LEE",DEMOCRATIC,MI,HOUSE DISTRICT 049,Open,Won-General,87060.27
"MARLEAU, JIM",REPUBLICAN,MI,HOUSE DISTRICT 046,Open,Won-General,86964.00
"SMITH, ALMA WHEELER",DEMOCRATIC,MI,HOUSE DISTRICT 054,Open,Won-General,86393.95
"PAVLOV, PHILLIP",REPUBLICAN,MI,HOUSE DISTRICT 081,Open,Won-General,85314.19
"SMART, ROBERT M",REPUBLICAN,MI,BOARD OF EDUCATION,Challenger,Lost-General,84462.44
"SAK, MICHAEL G",DEMOCRATIC,MI,HOUSE DISTRICT 076,Incumbent,Won-General,84359.42
"PALSROK, DAVID",REPUBLICAN,MI,HOUSE DISTRICT 101,Incumbent,Won-General,84340.00
"HUIZENGA, WILLIAM P (BILL)",REPUBLICAN,MI,HOUSE DISTRICT 090,Incumbent,Won-General,83270.00
"BOOHER, DARWIN L",REPUBLICAN,MI,HOUSE DISTRICT 102,Open,Won-General,81769.67
"GLEASON, JOHN J",DEMOCRATIC,MI,HOUSE DISTRICT 048,Incumbent,Won-General,81414.50
"BENNETT, DOUGLAS",DEMOCRATIC,MI,HOUSE DISTRICT 092,Open,Won-General,80370.70
"WHITMER, GRETCHEN E",DEMOCRATIC,MI,HOUSE DISTRICT 069,Incumbent,Won-General,74683.31
"ACCIAVATTI, DANIEL J",REPUBLICAN,MI,HOUSE DISTRICT 032,Incumbent,Won-General,73641.50
"SCHWARTZ, MICHAEL ALAN",DEMOCRATIC,MI,HOUSE DISTRICT 039,Open,Lost-General,73625.00
"PATTERSON, MARY",DEMOCRATIC,MI,HOUSE DISTRICT 081,Open,Lost-General,72359.00
"MAYES, JEFF",DEMOCRATIC,MI,HOUSE DISTRICT 096,Open,Won-General,71582.56
"HANSEN, GOEFFREY M (GOEFF)",REPUBLICAN,MI,HOUSE DISTRICT 100,Open,Won-General,71335.47
"NEWELL, GARY A",REPUBLICAN,MI,HOUSE DISTRICT 087,Incumbent,Won-General,68722.50
"WALKER, HOWARD",REPUBLICAN,MI,HOUSE DISTRICT 104,Incumbent,Won-General,68714.33
"WOJNO, LISA",DEMOCRATIC,MI,HOUSE DISTRICT 028,Incumbent,Won-General,68079.69
"ESPINOZA, JOHN",DEMOCRATIC,MI,HOUSE DISTRICT 083,Open,Won-General,66314.23
"PASTOR, JOHN",REPUBLICAN,MI,HOUSE DISTRICT 019,Incumbent,Won-General,65773.88
"HUNTER, TUPAC A",DEMOCRATIC,MI,HOUSE DISTRICT 009,Incumbent,Won-General,64532.60
"LELAND, GABE",DEMOCRATIC,MI,HOUSE DISTRICT 010,Open,Won-General,63965.73
"HUDSON, SCOTT",DEMOCRATIC,MI,HOUSE DISTRICT 043,Challenger,Lost-General,63754.24
"JONES, RICK A",REPUBLICAN,MI,HOUSE DISTRICT 071,Open,Won-General,63637.71
"CLEMENTE, ED",DEMOCRATIC,MI,HOUSE DISTRICT 014,Open,Won-General,57417.83
"MCCONICO, BILL",DEMOCRATIC,MI,HOUSE DISTRICT 005,Incumbent,Won-General,57082.17
"HALEY, LYNNE",DEMOCRATIC,MI,HOUSE DISTRICT 062,Challenger,Lost-General,56810.75
"LIPSEY, ALEXANDER C",DEMOCRATIC,MI,HOUSE DISTRICT 060,Incumbent,Won-General,56675.94
"HUMMEL, SCOTT",REPUBLICAN,MI,HOUSE DISTRICT 093,Incumbent,Won-General,55634.09
"STAHL, JOHN",REPUBLICAN,MI,HOUSE DISTRICT 082,Incumbent,Won-General,55338.77
"FARRAH, BARBARA",DEMOCRATIC,MI,HOUSE DISTRICT 013,Incumbent,Won-General,55019.46
"WARD, CHRISTOPHER C",REPUBLICAN,MI,HOUSE DISTRICT 066,Incumbent,Won-General,54528.42
"THOMAS, DEBORAH",NONPARTISAN,MI,SUPREME COURT-KELLY SEAT & MARKMAN SEAT,Challenger,Lost-General,54373.77
"ELSENHEIMER, KEVIN A",REPUBLICAN,MI,HOUSE DISTRICT 105,Open,Won-General,53804.95
"SIMPSON, MIKE",DEMOCRATIC,MI,HOUSE DISTRICT 065,Open,Lost-General,51490.26
"TAUB, SHELLEY GOODMAN",REPUBLICAN,MI,HOUSE DISTRICT 040,Incumbent,Won-General,50950.60
"CONDINO, PAUL",DEMOCRATIC,MI,HOUSE DISTRICT 035,Incumbent,Won-General,50946.68
"CASWELL, BRUCE",REPUBLICAN,MI,HOUSE DISTRICT 058,Incumbent,Won-General,50530.99
"NITZ, NEAL",REPUBLICAN,MI,HOUSE DISTRICT 078,Incumbent,Won-General,50228.65
"ACCAVITTI JR, FRANK",DEMOCRATIC,MI,HOUSE DISTRICT 042,Incumbent,Won-General,50207.21
"HOOGENDYK JR, JACK",REPUBLICAN,MI,HOUSE DISTRICT 061,Incumbent,Won-General,50031.09
"MURPHY, MICHAEL C",DEMOCRATIC,MI,HOUSE DISTRICT 068,Incumbent,Won-General,49501.00
"STEIL JR, GLENN",REPUBLICAN,MI,HOUSE DISTRICT 072,Incumbent,Won-General,49215.00
"ADAMINI, STEPHEN",DEMOCRATIC,MI,HOUSE DISTRICT 109,Incumbent,Won-General,49057.21
"VANDER VEEN, BARBARA G",REPUBLICAN,MI,HOUSE DISTRICT 089,Incumbent,Won-General,48947.45
"ROCCA, TORY",REPUBLICAN,MI,HOUSE DISTRICT 030,Open,Won-General,48253.92
"CUSHINGBERRY JR, GEORGE C",DEMOCRATIC,MI,HOUSE DISTRICT 008,Open,Won-General,47854.37
"KOLB, CHRIS",DEMOCRATIC,MI,HOUSE DISTRICT 053,Incumbent,Won-General,47689.04
"BROWN, RICHARD J",DEMOCRATIC,MI,HOUSE DISTRICT 110,Incumbent,Won-General,47126.07
"TILMANN, SHARON STANGLE",DEMOCRATIC,MI,HOUSE DISTRICT 099,Open,Lost-General,45578.93
"WATERS, MARY D",DEMOCRATIC,MI,HOUSE DISTRICT 004,Incumbent,Won-General,45569.55
"SHEEN, FULTON",REPUBLICAN,MI,HOUSE DISTRICT 088,Incumbent,Won-General,44809.79
"HOPGOOD, HOON-YUNG",DEMOCRATIC,MI,HOUSE DISTRICT 022,Incumbent,Won-General,43848.15
"AMOS, FRAN",REPUBLICAN,MI,HOUSE DISTRICT 043,Incumbent,Won-General,43752.84
"STAKOE, JOHN",REPUBLICAN,MI,HOUSE DISTRICT 044,Incumbent,Won-General,43131.82
"MCKIMMY, JIM",DEMOCRATIC,MI,HOUSE DISTRICT 105,Open,Lost-General,42923.21
"GRIFFIN, MARTIN J",DEMOCRATIC,MI,HOUSE DISTRICT 064,Open,Lost-General,42794.99
"MEYER, TOM",REPUBLICAN,MI,HOUSE DISTRICT 084,Incumbent,Won-General,42190.00
"DANHOF, NANCY",REPUBLICAN,MI,BOARD OF EDUCATION,Challenger,Won-General,41841.71
"MEISNER, ANDREW E",DEMOCRATIC,MI,HOUSE DISTRICT 027,Incumbent,Won-General,40564.99
"GEBHARD, RICHARD",DEMOCRATIC,MI,HOUSE DISTRICT 101,Challenger,Lost-General,38323.88
"CLACK, BRENDA",DEMOCRATIC,MI,HOUSE DISTRICT 034,Incumbent,Won-General,35878.05
"ZELENKO, PAULA",DEMOCRATIC,MI,HOUSE DISTRICT 050,Incumbent,Won-General,34395.00
"PEARCE, TOM",REPUBLICAN,MI,HOUSE DISTRICT 073,Open,Won-General,34277.50
"GARFIELD, JOHN",REPUBLICAN,MI,HOUSE DISTRICT 045,Incumbent,Won-General,33759.00
"SMITH JR, VIRGIL",DEMOCRATIC,MI,HOUSE DISTRICT 007,Incumbent,Won-General,33143.00
"STEDMAN, JOHN G",NONE LISTED,MI,HOUSE DISTRICT 077,Open,Lost-General,32555.15
"PLAKAS, JIM A",DEMOCRATIC,MI,HOUSE DISTRICT 016,Incumbent,Won-General,32052.23
"FRYE, NANCY",DEMOCRATIC,MI,HOUSE DISTRICT 091,Challenger,Lost-General,31461.70
"ANDERSON, GLENN S",DEMOCRATIC,MI,HOUSE DISTRICT 018,Incumbent,Won-General,30593.64
"EMMONS, JUDY K",REPUBLICAN,MI,HOUSE DISTRICT 070,Incumbent,Won-General,30375.00
"SHAFFER, RICK",REPUBLICAN,MI,HOUSE DISTRICT 059,Incumbent,Won-General,29099.09
"HOUSTON, JAMES H",DEMOCRATIC,MI,HOUSE DISTRICT 061,Challenger,Lost-General,28277.52
"GEBHARDT, JOAN A",DEMOCRATIC,MI,HOUSE DISTRICT 019,Challenger,Lost-General,27677.84
"BALDINELLI, DENNIS",DEMOCRATIC,MI,HOUSE DISTRICT 108,Challenger,Lost-General,27073.92
"CORRIVEAU, MARC R",DEMOCRATIC,MI,HOUSE DISTRICT 020,Challenger,Lost-General,26316.83
"CHEEKS, MARSHA",DEMOCRATIC,MI,HOUSE DISTRICT 006,Incumbent,Won-General,25205.00
"WILLIAMS, CARL M",DEMOCRATIC,MI,HOUSE DISTRICT 095,Incumbent,Won-General,24317.63
"HOOD, MORRIS",DEMOCRATIC,MI,HOUSE DISTRICT 011,Incumbent,Won-General,23705.00
"ZAHRA, BRIAN KEITH",NONPARTISAN,MI,SUPREME COURT-KELLY SEAT & MARKMAN SEAT,Challenger,Lost-General,21520.16
"PHILLIPS, CLARENCE E",DEMOCRATIC,MI,HOUSE DISTRICT 029,Incumbent,Won-General,20180.00
"FORTIER, RICHARD",REPUBLICAN,MI,HOUSE DISTRICT 106,Challenger,Lost-General,19974.41
"LEMMONS III, LAMAR",DEMOCRATIC,MI,HOUSE DISTRICT 003,Open,Won-General,18192.60
"PALMER, BRIAN P",REPUBLICAN,MI,HOUSE DISTRICT 036,Incumbent,Won-General,17419.90
"STEWART, JOHN C",REPUBLICAN,MI,HOUSE DISTRICT 020,Incumbent,Won-General,16530.00
"MCGUIRE, MARIANNE YARED",DEMOCRATIC,MI,BOARD OF EDUCATION,Incumbent,Won-General,16415.00
"CYNOWA, GARY E",DEMOCRATIC,MI,HOUSE DISTRICT 033,Challenger,Lost-General,15408.87
"WIECEK, MICHAEL J",REPUBLICAN,MI,HOUSE DISTRICT 025,Challenger,Lost-General,14748.94
"MOYER, HERBERT S",DEMOCRATIC,MI,BOARD OF EDUCATION,Incumbent,Lost-General,14055.00
"LEMMONS JR, LAMAR",DEMOCRATIC,MI,HOUSE DISTRICT 002,Open,Won-General,13800.00
"MUTER, TIMOTHY D",DEMOCRATIC,MI,HOUSE DISTRICT 094,Open,Lost-General,13735.00
"VAN REGENMORGER, WILLIAM",REPUBLICAN,MI,HOUSE DISTRICT 074,Incumbent,Won-General,12665.00
"HARRISON, C J",DEMOCRATIC,MI,HOUSE DISTRICT 001,Challenger,Lost-General,12503.28
"FEDESNA, NICK",REPUBLICAN,MI,HOUSE DISTRICT 060,Challenger,Lost-General,11910.00
"GOSS, STEVEN G",REPUBLICAN,MI,HOUSE DISTRICT 096,Open,Lost-General,10452.38
"GEARY, JAMES",DEMOCRATIC,MI,HOUSE DISTRICT 063,Challenger,Lost-General,10257.84
"FLESER, MARTY JO",DEMOCRATIC,MI,HOUSE DISTRICT 088,Challenger,Lost-General,10210.00
"MONTLE, STEVE",DEMOCRATIC,MI,HOUSE DISTRICT 084,Challenger,Lost-General,9825.12
"FORTNER, FRED MAC",REPUBLICAN,MI,HOUSE DISTRICT 050,Challenger,Lost-General,9770.00
"MACERONI, ROGER",DEMOCRATIC,MI,HOUSE DISTRICT 030,Open,Lost-General,9325.00
"TOY, ARTHUR",DEMOCRATIC,MI,HOUSE DISTRICT 080,Open,Lost-General,8707.72
"OKASINSKI, DAVID",DEMOCRATIC,MI,HOUSE DISTRICT 082,Challenger,Lost-General,8475.55
"BRINKERT, DAVID A",DEMOCRATIC,MI,HOUSE DISTRICT 087,Challenger,Lost-General,7955.25
"LATOURETTE, RYAN",DEMOCRATIC,MI,HOUSE DISTRICT 071,Open,Lost-General,7730.36
"SANCHEZ, HENRY A",DEMOCRATIC,MI,HOUSE DISTRICT 070,Challenger,Lost-General,7285.63
"ABBASSE, ALBERT S",DEMOCRATIC,MI,HOUSE DISTRICT 077,Open,Lost-General,6624.63
"WENDT, ANDREW",REPUBLICAN,MI,HOUSE DISTRICT 095,Challenger,Lost-General,5885.00
"WENK, DONALD H",REPUBLICAN,MI,HOUSE DISTRICT 048,Challenger,Lost-General,5758.48
"KALTENBACH, DAVID L",REPUBLICAN,MI,HOUSE DISTRICT 109,Challenger,Lost-General,5618.00
"THOMAS, DOUG",REPUBLICAN,MI,HOUSE DISTRICT 015,Open,Lost-General,5514.97
"BLUNDO, JIM",DEMOCRATIC,MI,HOUSE DISTRICT 041,Open,Lost-General,5312.49
"KARAS, TOM",DEMOCRATIC,MI,HOUSE DISTRICT 104,Challenger,Lost-General,5045.00
"ZUIDEMA, HOLLY",REPUBLICAN,MI,HOUSE DISTRICT 076,Challenger,Lost-General,4569.76
"DIAZ JR, MARIANO",LIBERTARIAN,MI,HOUSE DISTRICT 090,Challenger,Lost-General,4523.27
"CUTLER, BOB",REPUBLICAN,MI,HOUSE DISTRICT 092,Open,Lost-General,3745.06
"PARKS, DAN",REPUBLICAN,MI,HOUSE DISTRICT 049,Open,Lost-General,3485.00
"PIEDMONTE, LANCE",LIBERTARIAN,MI,HOUSE DISTRICT 056,Open,Lost-General,3435.00
"SCHWARTZ, LEONARD",NONPARTISAN,MI,SUPREME COURT-KELLY SEAT & MARKMAN SEAT,Challenger,Lost-General,2962.71
"MYSLAKOWSKI, DANIEL",DEMOCRATIC,MI,HOUSE DISTRICT 046,Open,Lost-General,2945.50
"POWELL, MARK",LIBERTARIAN,MI,HOUSE DISTRICT 071,Open,Lost-General,2893.78
"GORDON, MICHAEL",DEMOCRATIC,MI,HOUSE DISTRICT 078,Challenger,Lost-General,2848.50
"SLOBODA, DAWN C",DEMOCRATIC,MI,HOUSE DISTRICT 074,Challenger,Lost-General,2447.98
"SHEAGREN, ERIK P",REPUBLICAN,MI,HOUSE DISTRICT 053,Challenger,Lost-General,2410.00
"NIEMELA, JAMES M",US TAXPAYER,MI,HOUSE DISTRICT 110,Challenger,Lost-General,2130.69
"BLOCK, W JAMES",DEMOCRATIC,MI,HOUSE DISTRICT 066,Challenger,Lost-General,1800.00
"MAYER, RALPH E",DEMOCRATIC,MI,HOUSE DISTRICT 021,Challenger,Lost-General,1671.32
"AXTELL, WILLIAM J",REPUBLICAN,MI,HOUSE DISTRICT 027,Challenger,Lost-General,1631.31
"FLEMING, GREG",REPUBLICAN,MI,HOUSE DISTRICT 042,Challenger,Lost-General,1582.04
"HARM, MARK",REPUBLICAN,MI,HOUSE DISTRICT 068,Challenger,Lost-General,1507.26
"TURNER, JAMES",DEMOCRATIC,MI,HOUSE DISTRICT 086,Open,Lost-General,1457.40
"LINDSAY, ANGELA",REPUBLICAN,MI,HOUSE DISTRICT 069,Challenger,Lost-General,1350.00
"SENKOWSKI, EDMUND F",DEMOCRATIC,MI,HOUSE DISTRICT 047,Challenger,Lost-General,1200.00
"BURKE, THOMAS",DEMOCRATIC,MI,HOUSE DISTRICT 072,Challenger,Lost-General,1157.40
"SAVAGE, DALE",UNAFFILIATED,MI,HOUSE DISTRICT 026,Open,Lost-General,1066.06
"PONZETTI, PETER",GREEN,MI,BOARD OF EDUCATION,Challenger,Lost-General,1021.00
"JONES, STACY",DEMOCRATIC,MI,HOUSE DISTRICT 098,Challenger,Lost-General,962.32
"GABBARD, JACK",DEMOCRATIC,MI,HOUSE DISTRICT 058,Challenger,Lost-General,821.85
"STASIK, DARRELL F",REPUBLICAN,MI,HOUSE DISTRICT 013,Challenger,Lost-General,795.24
"ARENAS, REBECCA",DEMOCRATIC,MI,HOUSE DISTRICT 089,Challenger,Lost-General,0.00
"ASHCRAFT, PATRICIA",REPUBLICAN,MI,HOUSE DISTRICT 110,Challenger,Lost-General,0.00
"BARTLETT, JO",DEMOCRATIC,MI,HOUSE DISTRICT 090,Challenger,Lost-General,0.00
"BIRCHMAN, MONICA",DEMOCRATIC,MI,HOUSE DISTRICT 093,Challenger,Lost-General,0.00
"BOMAN, SCOTTY",LIBERTARIAN,MI,BOARD OF EDUCATION,Challenger,Lost-General,0.00
"BRODERSEN, DOLORES",REPUBLICAN,MI,HOUSE DISTRICT 007,Challenger,Lost-General,0.00
"BYRD, MELVIN E",REPUBLICAN,MI,HOUSE DISTRICT 008,Open,Lost-General,0.00
"CHALLENDER, PAUL",DEMOCRATIC,MI,HOUSE DISTRICT 102,Open,Lost-General,0.00
"CLOWNEY, FREDERICK",DEMOCRATIC,MI,HOUSE DISTRICT 073,Open,Lost-General,0.00
"DOMBROWSKI, THERESA",REPUBLICAN,MI,HOUSE DISTRICT 014,Open,Lost-General,0.00
"EMBRY, MICHAEL F",REPUBLICAN,MI,HOUSE DISTRICT 003,Open,Lost-General,0.00
"FLOYD, EDITH L",REPUBLICAN,MI,HOUSE DISTRICT 002,Open,Lost-General,0.00
"FOUKES, DAN",DEMOCRATIC,MI,HOUSE DISTRICT 024,Challenger,Lost-General,0.00
"GRAESER, GAIL M",US TAXPAYER,MI,BOARD OF EDUCATION,Challenger,Lost-General,0.00
"GRIFFIN, RONALD W",DEMOCRATIC,MI,HOUSE DISTRICT 100,Open,Lost-General,0.00
"HASKA, CARLA",REPUBLICAN,MI,HOUSE DISTRICT 004,Challenger,Lost-General,0.00
"KALSIC, FRED W",REPUBLICAN,MI,HOUSE DISTRICT 022,Challenger,Lost-General,0.00
"KNUE, TIMOTHY C",REPUBLICAN,MI,HOUSE DISTRICT 028,Challenger,Lost-General,0.00
"LANDSIEDEL, MICHAEL R",DEMOCRATIC,MI,HOUSE DISTRICT 032,Challenger,Lost-General,0.00
"LAUSTER, JEFFREY",REPUBLICAN,MI,HOUSE DISTRICT 016,Challenger,Lost-General,0.00
"LIPFORD, KIP R",REPUBLICAN,MI,HOUSE DISTRICT 018,Challenger,Lost-General,0.00
"MALISOW, ALAN M",REPUBLICAN,MI,HOUSE DISTRICT 035,Challenger,Lost-General,0.00
"MAYS, STEVEN",REPUBLICAN,MI,HOUSE DISTRICT 034,Challenger,Lost-General,0.00
"MOFFETT, SAMANTHA",REPUBLICAN,MI,HOUSE DISTRICT 029,Challenger,Lost-General,0.00
"MORGAN, JOAN",DEMOCRATIC,MI,HOUSE DISTRICT 038,Challenger,Lost-General,0.00
"MURPHY, ROBERT",DEMOCRATIC,MI,HOUSE DISTRICT 036,Challenger,Lost-General,0.00
"MYERS, JASON R",REPUBLICAN,MI,HOUSE DISTRICT 054,Open,Lost-General,0.00
