Candidate,Party,State,Office,Incumbency,Result,Total Money
"THAYER, DAMON",REPUBLICAN,KY,SENATE DISTRICT 017,Open,Won-General,354509.48
"JONES II, RAY S",DEMOCRATIC,KY,SENATE DISTRICT 031,Incumbent,Won-General,344570.23
"RATLIFF, CHRIS",REPUBLICAN,KY,SENATE DISTRICT 031,Challenger,Lost-General,316125.18
"SCOTT, WILLIAM T (WILL)",NONPARTISAN,KY,SUPREME COURT DISTRICT 007,Challenger,Won-General,273122.07
"WESTWOOD, JACK",REPUBLICAN,KY,SENATE DISTRICT 023,Incumbent,Won-General,259346.35
"CARROLL, JULIAN M",DEMOCRATIC,KY,SENATE DISTRICT 007,Open,Won-General,245661.40
"GIBSON, CARROLL",REPUBLICAN,KY,SENATE DISTRICT 005,Open,Won-General,218461.84
"STUMBO, JANET L",NONPARTISAN,KY,SUPREME COURT DISTRICT 007,Incumbent,Lost-General,205311.08
"FLETCHER JR, HAROLD",REPUBLICAN,KY,SENATE DISTRICT 007,Open,Lost-General,204213.45
"STEPHENSON, DANA SEUM",REPUBLICAN,KY,SENATE DISTRICT 037,Open,Won-General,195529.15
"HAMPTON, JOHN WILSON",REPUBLICAN,KY,HOUSE DISTRICT 076,Challenger,Lost-General,162546.65
"WINTERS, KENNETH",REPUBLICAN,KY,SENATE DISTRICT 001,Open,Won-General,160523.38
"HARPER ANGEL, DENISE",DEMOCRATIC,KY,SENATE DISTRICT 035,Open,Won-General,159724.67
"WALLACE, CLIFF",DEMOCRATIC,KY,SENATE DISTRICT 017,Open,Lost-General,157555.00
"GROOB, KATHRYN",DEMOCRATIC,KY,SENATE DISTRICT 023,Challenger,Lost-General,155046.65
"CANNON, BARRY",DEMOCRATIC,KY,SENATE DISTRICT 005,Open,Lost-General,152478.91
"WOODWARD, VIRGINIA",DEMOCRATIC,KY,SENATE DISTRICT 037,Open,Lost-General,131368.64
"SHAUGHNESSY, TIM",DEMOCRATIC,KY,SENATE DISTRICT 019,Incumbent,Won-General,131338.76
"CLARK, LARRY",DEMOCRATIC,KY,HOUSE DISTRICT 046,Incumbent,Won-General,131199.00
"MOBERLY JR, HARRY",DEMOCRATIC,KY,HOUSE DISTRICT 081,Incumbent,Won-General,123876.00
"WESTROM, SUSAN",DEMOCRATIC,KY,HOUSE DISTRICT 079,Incumbent,Won-General,122391.82
"THOMAS, JAMES ROGER",DEMOCRATIC,KY,HOUSE DISTRICT 021,Incumbent,Lost-General,112984.97
"NULL, DENNIS L",DEMOCRATIC,KY,SENATE DISTRICT 001,Open,Lost-General,109694.70
"JENSEN, THOMAS",REPUBLICAN,KY,SENATE DISTRICT 021,Open,Won-General,109608.97
"PENDLETON, JOEY",DEMOCRATIC,KY,SENATE DISTRICT 003,Incumbent,Won-General,107869.97
"SCORSONE, ERNESTO",DEMOCRATIC,KY,SENATE DISTRICT 013,Incumbent,Won-General,105078.18
"TURNER, JOHNNY RAY",DEMOCRATIC,KY,SENATE DISTRICT 029,Incumbent,Won-General,104570.00
"CHESSER, TRACE",REPUBLICAN,KY,HOUSE DISTRICT 046,Challenger,Lost-General,96819.47
