Candidate,Party,State,Office,Incumbency,Result,Total Money
"ELLISON, ARLO",DEMOCRATIC,CT,SENATE DISTRICT 026,Challenger,Lost-General,212805.00
"HARRIS, JONATHAN A",DEMOCRATIC,CT,SENATE DISTRICT 005,Open,Won-General,193575.12
"CIOTTO, BIAGIO (BILLY)",DEMOCRATIC,CT,SENATE DISTRICT 009,Incumbent,Won-General,193301.00
"MEYER, EDWARD D",DEMOCRATIC,CT,SENATE DISTRICT 012,Challenger,Won-General,191607.60
"SLOSSBERG, GAYLE S",DEMOCRATIC,CT,SENATE DISTRICT 014,Challenger,Won-General,157235.90
"ANISKOVICH, WILLIAM A",REPUBLICAN,CT,SENATE DISTRICT 012,Incumbent,Lost-General,157177.00
"CONNORS, KEVIN",REPUBLICAN,CT,SENATE DISTRICT 005,Open,Lost-General,136897.04
"MCDONALD, ANDREW J",DEMOCRATIC,CT,SENATE DISTRICT 027,Incumbent,Won-General,133388.00
"RUSSO III, ROBERT D",REPUBLICAN,CT,SENATE DISTRICT 022,Challenger,Lost-General,120448.08
"DUFF, ROBERT B (BOB)",DEMOCRATIC,CT,SENATE DISTRICT 025,Open,Won-General,119466.97
"SMITH JR, WINTHROP S",REPUBLICAN,CT,SENATE DISTRICT 014,Incumbent,Lost-General,112660.55
"PRAGUE, EDITH G",DEMOCRATIC,CT,SENATE DISTRICT 019,Incumbent,Won-General,92647.60
"MAYNARD, ANDREW M",DEMOCRATIC,CT,SENATE DISTRICT 018,Challenger,Lost-General,89820.73
"STILLMAN, ANDREA L",DEMOCRATIC,CT,SENATE DISTRICT 020,Open,Won-General,84605.16
"FINCH, BILL",DEMOCRATIC,CT,SENATE DISTRICT 022,Incumbent,Won-General,83945.00
"MURPHY, CHRISTOPHER S",DEMOCRATIC,CT,SENATE DISTRICT 016,Incumbent,Won-General,83576.94
"CAPENERA, RALPH",REPUBLICAN,CT,SENATE DISTRICT 009,Challenger,Lost-General,77750.21
"CAPPIELLO, DAVID J",REPUBLICAN,CT,SENATE DISTRICT 024,Incumbent,Won-General,77308.00
"KONSPORE, JEFF",REPUBLICAN,CT,SENATE DISTRICT 025,Open,Lost-General,74895.17
"COOK, CATHY WELLES",REPUBLICAN,CT,SENATE DISTRICT 018,Incumbent,Won-General,70630.00
"DIEBOLT, MARK",REPUBLICAN,CT,SENATE DISTRICT 020,Open,Lost-General,69631.57
"MARX, CATHERINE",REPUBLICAN,CT,SENATE DISTRICT 019,Challenger,Lost-General,67764.38
"BOBROSKE, BEVERLY R",REPUBLICAN,CT,SENATE DISTRICT 031,Challenger,Lost-General,65396.45
"NICKERSON, WILLIAM H",REPUBLICAN,CT,SENATE DISTRICT 036,Incumbent,Won-General,65113.83
"FELTMAN, ART",DEMOCRATIC,CT,HOUSE DISTRICT 006,Incumbent,Won-General,63997.12
"DAILY, EILEEN M",DEMOCRATIC,CT,SENATE DISTRICT 033,Incumbent,Won-General,60259.98
"FASANO JR, LEONARD A",REPUBLICAN,CT,SENATE DISTRICT 034,Incumbent,Won-General,59596.00
"KALINOWSKI, RAYMOND C",REPUBLICAN,CT,HOUSE DISTRICT 100,Incumbent,Won-General,59540.85
"GUGLIELMO, D ANTHONY (TONY)",REPUBLICAN,CT,SENATE DISTRICT 035,Incumbent,Won-General,59487.27
"COLAPIETRO, THOMAS A",DEMOCRATIC,CT,SENATE DISTRICT 031,Incumbent,Won-General,58284.00
"SHAPIRO, JAMES A",DEMOCRATIC,CT,HOUSE DISTRICT 144,Open,Won-General,58127.64
"DEFRONZO, DONALD J",DEMOCRATIC,CT,SENATE DISTRICT 006,Incumbent,Won-General,52883.00
"FREY, JOHN H",REPUBLICAN,CT,HOUSE DISTRICT 111,Incumbent,Won-General,51667.45
"FREEDMAN, JUDITH G",REPUBLICAN,CT,SENATE DISTRICT 026,Incumbent,Won-General,49582.95
"HANDLEY, MARY ANN",DEMOCRATIC,CT,SENATE DISTRICT 004,Incumbent,Won-General,49081.15
"SULLIVAN, CALLIE A",DEMOCRATIC,CT,HOUSE DISTRICT 141,Challenger,Lost-General,47590.00
"PAINTER, E REECE",DEMOCRATIC,CT,HOUSE DISTRICT 050,Open,Lost-General,45336.68
"WILLIS, ROBERTA B",DEMOCRATIC,CT,HOUSE DISTRICT 064,Incumbent,Won-General,45288.04
"DELUCA, LOUIS C",REPUBLICAN,CT,SENATE DISTRICT 032,Incumbent,Won-General,44742.36
"LOONEY, MARTIN M",DEMOCRATIC,CT,SENATE DISTRICT 011,Incumbent,Won-General,44545.00
"GAFFEY, THOMAS P",DEMOCRATIC,CT,SENATE DISTRICT 013,Incumbent,Won-General,44350.00
"KINER, BILL",DEMOCRATIC,CT,SENATE DISTRICT 007,Challenger,Lost-General,42751.75
"BERNHARD, KEN",REPUBLICAN,CT,HOUSE DISTRICT 136,Incumbent,Lost-General,41693.93
"MCKINNEY, JOHN P",REPUBLICAN,CT,SENATE DISTRICT 028,Incumbent,Won-General,40015.00
"COLEMAN, ERIC D",DEMOCRATIC,CT,SENATE DISTRICT 002,Incumbent,Won-General,39185.00
"AMAN, WILLIAM E (BILL)",REPUBLICAN,CT,HOUSE DISTRICT 014,Open,Won-General,39087.13
"NEWTON II, ERNEST E",DEMOCRATIC,CT,SENATE DISTRICT 023,Incumbent,Won-General,38084.19
"CRISCO JR, JOSEPH J",DEMOCRATIC,CT,SENATE DISTRICT 017,Incumbent,Won-General,37480.00
"BIELAWA, HANK",REPUBLICAN,CT,HOUSE DISTRICT 002,Incumbent,Won-General,36301.86
"FOX III, GERALD M",DEMOCRATIC,CT,HOUSE DISTRICT 146,Open,Won-General,35951.56
"RACZKA, THEODORE V",DEMOCRATIC,CT,HOUSE DISTRICT 100,Challenger,Lost-General,35854.77
"LEBEAU, GARY D",DEMOCRATIC,CT,SENATE DISTRICT 003,Incumbent,Won-General,34990.63
"HARKINS, JOHN A",REPUBLICAN,CT,HOUSE DISTRICT 120,Incumbent,Won-General,34957.70
"NOUJAIM, SELIM G",REPUBLICAN,CT,HOUSE DISTRICT 074,Incumbent,Won-General,34060.27
"WILLIAMS JR, DONALD E",DEMOCRATIC,CT,SENATE DISTRICT 029,Incumbent,Won-General,33915.00
"FONTANA, STEVE",DEMOCRATIC,CT,HOUSE DISTRICT 087,Incumbent,Won-General,33875.00
"WALLACE, LEWIS J",DEMOCRATIC,CT,HOUSE DISTRICT 109,Incumbent,Won-General,33721.22
"FLOREN, OLIVIA R (LIVVY)",REPUBLICAN,CT,HOUSE DISTRICT 149,Incumbent,Won-General,33178.00
"HARTLEY, JOAN V",DEMOCRATIC,CT,SENATE DISTRICT 015,Incumbent,Won-General,32400.00
"RUBINO, JAMES M",REPUBLICAN,CT,HOUSE DISTRICT 144,Open,Lost-General,32255.94
"BERGER, JEFFREY J",DEMOCRATIC,CT,HOUSE DISTRICT 073,Incumbent,Won-General,32149.43
"WALKER, TONI EDMONDS",DEMOCRATIC,CT,HOUSE DISTRICT 093,Incumbent,Won-General,31812.91
"THROWE, JAMES H",DEMOCRATIC,CT,HOUSE DISTRICT 014,Open,Lost-General,31143.40
"HERLIHY JR, THOMAS J",REPUBLICAN,CT,SENATE DISTRICT 008,Incumbent,Won-General,30875.00
"REYNOLDS, TOM",DEMOCRATIC,CT,HOUSE DISTRICT 042,Open,Won-General,30867.82
"GIANNAROS, DEMETRIOS",DEMOCRATIC,CT,HOUSE DISTRICT 021,Incumbent,Won-General,30519.81
"HARP, TONI N",DEMOCRATIC,CT,SENATE DISTRICT 010,Incumbent,Won-General,30223.85
"HAMM, GAIL K",DEMOCRATIC,CT,HOUSE DISTRICT 034,Incumbent,Won-General,30055.11
