office,candidate,party,state,incumbency,result,total money,district
Supreme Court District 001002,James Graves,IND,MS,Incumbent,Won-General,778113.58,nan
Supreme Court District 002003,Michael Randolph,IND,MS,Incumbent,Won-General,585917.0,nan
Supreme Court District 003003,George Carlson,IND,MS,Incumbent,Won-General,394152.36,nan
Supreme Court District 001001,William Waller Jr.,IND,MS,Incumbent,Won-General,357799.55,nan
Supreme Court District 001002,Samac Richardson,IND,MS,Challenger,Lost-General,348229.25,nan
Supreme Court District 002003,Joe Lee,IND,MS,Challenger,Lost-General,53496.8,nan
Supreme Court District 001002,William Skinner,IND,MS,Challenger,Lost-General,44247.0,nan
Supreme Court District 001001,Ray Grindstaff,IND,MS,Challenger,Lost-General,26152.43,nan
Supreme Court District 003003,William Bambach,IND,MS,Challenger,Lost-General,24275.0,nan
Supreme Court District 002003,David Ishee,IND,MS,Challenger,Lost-General,12370.0,nan
Supreme Court District 001002,Ceola James,IND,MS,Challenger,Lost-General,1600.0,nan
Supreme Court District 001002,Ed Patten,IND,MS,Challenger,Withdrew-General,0.0,nan
