office,candidate,party,state,incumbency,result,total money,district
State Representative,Tom Craddick,REP,TX,Incumbent,Won-General,2778974.27,82
Railroad Commissioner,Victor Carrillo,REP,TX,Incumbent,Won-General,1691766.25,nan
State Senator,Kel Seliger,REP,TX,Incumbent,Won-General,1350145.07,31
State Representative,Patrick Rose,DEM,TX,Incumbent,Won-General,1028223.98,45
State Senator,John Carona Sr.,REP,TX,Incumbent,Won-General,926767.67,16
State Representative,Talmadge Heflin,REP,TX,Incumbent,Lost-General,870444.5,149
State Representative,Abel Herrero,DEM,TX,Open,Lost-General,861262.81,34
Supreme Court-S Smith Seat,Paul Green,REP,TX,Open,Won-General,839844.99,nan
State Representative,Mark Strama,DEM,TX,Challenger,Won-General,829966.87,50
State Representative,Jack Stick,REP,TX,Incumbent,Lost-General,798146.0,50
State Representative,Todd Baxter,REP,TX,Incumbent,Won-General,701529.12,48
State Representative,David McQuade Leibowitz,DEM,TX,Challenger,Won-General,691586.91,117
State Representative,Alan Askew,REP,TX,Challenger,Lost-General,654989.47,45
State Senator,Craig Estes,REP,TX,Incumbent,Won-General,631697.69,30
State Representative,Charles Anderson,REP,TX,Challenger,Won-General,625562.95,56
State Senator,Kenneth Kimberlin Brimer,REP,TX,Incumbent,Won-General,616628.41,10
State Representative,Kelly White,DEM,TX,Challenger,Lost-General,603090.75,48
State Senator,Mario Gallegos Jr.,DEM,TX,Incumbent,Won-General,567588.8,6
State Representative,Allan Ritter,DEM,TX,Incumbent,Won-General,556028.56,21
State Representative,Thomas Merritt,REP,TX,Incumbent,Won-General,538037.74,7
State Representative,Daniel Branch,REP,TX,Incumbent,Won-General,527401.99,108
Supreme Court-Brister Seat,Scott Brister,REP,TX,Incumbent,Won-General,519596.8,nan
State Representative,Veronica Gonzales,DEM,TX,Open,Won-General,487797.88,41
State Senator,Leticia Van De Putte,DEM,TX,Incumbent,Won-General,486304.88,26
State Representative,John Mabry,DEM,TX,Incumbent,Lost-General,480020.74,56
State Senator,Judith Zaffirini,DEM,TX,Incumbent,Won-General,476970.0,21
State Senator,Troy Fraser,REP,TX,Incumbent,Won-General,472121.28,24
State Representative,Joe Nixon,REP,TX,Incumbent,Won-General,471794.45,133
State Senator,Royce West,DEM,TX,Incumbent,Won-General,468236.77,23
State Senator,Thomas Williams,REP,TX,Incumbent,Won-General,461935.03,4
State Representative,Bryan Hughes,REP,TX,Incumbent,Won-General,428975.45,5
State Representative,Burt Solomons,REP,TX,Incumbent,Won-General,410713.29,65
State Senator,James Jackson,REP,TX,Incumbent,Won-General,409728.07,11
State Representative,E Pete Snow,REP,TX,Open,Lost-General,405991.67,1
State Representative,Ann Witt,REP,TX,Challenger,Lost-General,405446.61,137
State Representative,Ken Mercer,REP,TX,Incumbent,Lost-General,402333.43,117
State Senator,Chris Harris,REP,TX,Incumbent,Won-General,402206.54,9
State Representative,Charles Hopson,DEM,TX,Incumbent,Won-General,400964.52,11
State Representative,Martha Wong,REP,TX,Incumbent,Won-General,396026.87,134
State Representative,Yvonne Gonzalez Toureilles,DEM,TX,Open,Won-General,394991.19,35
State Representative,Hubert Vo,DEM,TX,Challenger,Won-General,392510.09,149
State Representative,Jim Pitts,REP,TX,Incumbent,Won-General,387181.66,10
State Representative,Stephen Frost,DEM,TX,Open,Won-General,360413.63,1
State Senator,Robert Duncan,REP,TX,Incumbent,Won-General,354473.02,28
State Representative,James Laney,DEM,TX,Incumbent,Won-General,340984.29,85
State Representative,Mike Hamilton,REP,TX,Incumbent,Won-General,335302.87,19
State Representative,Jim McReynolds,DEM,TX,Incumbent,Won-General,334707.67,12
State Representative,Ray Allen,REP,TX,Incumbent,Won-General,316158.51,106
State Senator,Juan Hinojosa,DEM,TX,Incumbent,Won-General,314860.67,20
State Representative,Robby Cook,DEM,TX,Incumbent,Won-General,310827.92,17
State Representative,Alma Allen,DEM,TX,Open,Won-General,304818.27,131
State Representative,Scott Hochberg,DEM,TX,Incumbent,Won-General,293594.42,137
State Representative,David Farabee,DEM,TX,Incumbent,Won-General,286137.62,69
State Representative,Charlie Geren,REP,TX,Incumbent,Won-General,285011.22,99
State Representative,Billy Clemons,REP,TX,Challenger,Lost-General,284944.26,12
State Representative,Jim Dunnam,DEM,TX,Incumbent,Won-General,283963.77,57
Supreme Court-Oneill Seat,Harriet Oneill,REP,TX,Incumbent,Won-General,283766.62,nan
State Representative,Harvey Ray Hildebran,REP,TX,Incumbent,Won-General,281076.77,53
State Representative,Bob Hunter,REP,TX,Incumbent,Won-General,279317.58,71
State Representative,Dennis Bonnen,REP,TX,Incumbent,Won-General,278562.2,25
State Representative,Sylvester Turner,DEM,TX,Incumbent,Won-General,278253.0,139
State Senator,Eddie Lucio Jr.,DEM,TX,Incumbent,Won-General,274027.67,27
State Representative,Phil King,REP,TX,Incumbent,Won-General,268923.63,61
State Representative,Kent Grusendorf,REP,TX,Incumbent,Won-General,263523.75,94
State Representative,Kenneth Paxton Jr.,REP,TX,Incumbent,Won-General,249188.28,70
State Representative,Brian McCall,REP,TX,Incumbent,Won-General,244557.11,66
State Representative,Beverly Woolley,REP,TX,Incumbent,Won-General,240586.59,136
State Representative,Kino Flores,DEM,TX,Incumbent,Won-General,236535.0,36
State Representative,Dianne White Delisi,REP,TX,Incumbent,Won-General,230140.5,55
State Representative,E West,REP,TX,Incumbent,Won-General,229074.93,81
State Representative,Aaron Pena,DEM,TX,Incumbent,Won-General,228421.36,40
State Representative,Linda Harper-Brown,REP,TX,Incumbent,Won-General,227802.09,105
State Representative,Vicki Truitt,REP,TX,Incumbent,Won-General,215413.88,98
State Representative,Roy Blake Jr.,REP,TX,Open,Won-General,212595.16,9
State Representative,Terry Arnold,REP,TX,Open,Won-General,210942.16,34
State Representative,Daniel Ellis,DEM,TX,Incumbent,Lost-General,210845.4,18
State Representative,Elizabeth Ames Jones,REP,TX,Incumbent,Won-General,210845.32,121
State Representative,Dwayne Bohac,REP,TX,Incumbent,Won-General,208898.38,138
State Representative,Eugene Seaman,REP,TX,Incumbent,Won-General,203611.25,32
State Representative,Eric Opiela,REP,TX,Open,Lost-General,203328.4,35
Supreme Court-Brister Seat,David Van Os,DEM,TX,Challenger,Lost-General,200018.6,nan
State Representative,Vilma Luna,DEM,TX,Incumbent,Won-General,193265.31,33
State Representative,Pete Gallego,DEM,TX,Incumbent,Won-General,192294.08,74
State Representative,Rob Orr,REP,TX,Open,Won-General,190512.85,58
State Representative,Wayne Smith,REP,TX,Incumbent,Won-General,188157.49,128
State Representative,Mike Krusee,REP,TX,Incumbent,Won-General,185949.02,52
State Representative,Rex Peveto,DEM,TX,Challenger,Lost-General,184899.92,19
State Representative,Tracy King,DEM,TX,Open,Won-General,183846.09,80
State Representative,James Keffer,REP,TX,Incumbent,Won-General,183172.81,60
State Representative,Shirley Craft,REP,TX,Challenger,Lost-General,180868.71,69
State Representative,Tony Goolsby,REP,TX,Incumbent,Won-General,178003.17,102
State Representative,Rob Eissler,REP,TX,Incumbent,Won-General,174192.28,15
State Representative,Katy Hubener,DEM,TX,Challenger,Lost-General,171565.39,106
State Representative,Lon Burnam,DEM,TX,Incumbent,Won-General,170930.01,90
State Representative,Mark Steven Homer,DEM,TX,Incumbent,Won-General,169223.93,3
State Representative,Jim Dougherty,DEM,TX,Challenger,Lost-General,167835.03,134
State Representative,Lois Kolkhorst,REP,TX,Incumbent,Won-General,167799.81,13
State Representative,David Swinford,REP,TX,Incumbent,Won-General,165564.0,87
State Representative,Geanie Morrison,REP,TX,Incumbent,Won-General,164751.04,30
State Representative,Carlos Uresti,DEM,TX,Incumbent,Won-General,161748.41,118
State Representative,Jodie Laubenberg,REP,TX,Incumbent,Won-General,160334.55,89
State Representative,Carl Isett,REP,TX,Incumbent,Won-General,157313.52,84
State Representative,Toby Goodman,REP,TX,Incumbent,Won-General,156065.15,93
State Representative,Marc Veasey,DEM,TX,Open,Won-General,151150.6,95
State Representative,Robert Puente,DEM,TX,Incumbent,Won-General,149930.26,119
State Representative,Garnet Coleman,DEM,TX,Incumbent,Won-General,149215.79,147
State Representative,Michael Villarreal,DEM,TX,Incumbent,Won-General,148851.73,123
State Representative,Ruth Jones McClendon,DEM,TX,Incumbent,Won-General,146930.79,120
State Representative,Harold Dutton Jr.,DEM,TX,Incumbent,Won-General,144375.47,142
State Representative,Sidney Miller,REP,TX,Incumbent,Won-General,143169.21,59
State Representative,Scott Campbell,REP,TX,Incumbent,Won-General,143160.13,72
State Representative,Trey Martinez Fischer III,DEM,TX,Incumbent,Won-General,141819.09,116
State Representative,Edmund Kuempel,REP,TX,Incumbent,Won-General,141273.35,44
State Representative,Richard Raymond,DEM,TX,Incumbent,Won-General,140212.38,42
State Representative,Dan Gattis,REP,TX,Incumbent,Won-General,136158.64,20
State Representative,Joe Driver,REP,TX,Incumbent,Won-General,134545.39,113
State Representative,Juan Escobar,DEM,TX,Incumbent,Won-General,131948.94,43
State Representative,Bill Zedler,REP,TX,Incumbent,Won-General,128095.14,96
State Representative,Helen Giddings,DEM,TX,Incumbent,Won-General,126291.88,109
State Representative,Patrick Haggerty,REP,TX,Incumbent,Won-General,123417.74,78
State Representative,Warren Chisum,REP,TX,Incumbent,Won-General,121923.66,88
State Representative,Peggy Hamric,REP,TX,Incumbent,Won-General,117822.19,126
State Representative,John Otto,REP,TX,Challenger,Won-General,116984.47,18
State Representative,Kirby Hollingsworth,REP,TX,Challenger,Lost-General,116871.01,3
State Representative,Norma Chavez,DEM,TX,Incumbent,Won-General,115962.59,76
State Representative,Glenn Hegar Jr.,REP,TX,Incumbent,Won-General,113959.67,28
State Representative,Elliott Naishtat,DEM,TX,Incumbent,Won-General,112323.58,49
State Representative,Larry Taylor,REP,TX,Incumbent,Won-General,110922.44,24
State Representative,Joe Pickett,DEM,TX,Incumbent,Won-General,110665.47,79
State Representative,Charlie Franklin Howard,REP,TX,Incumbent,Won-General,110302.22,26
State Representative,Jessica Cristina Farrar,DEM,TX,Incumbent,Won-General,107702.57,148
State Representative,Ruben Hope Jr.,REP,TX,Incumbent,Won-General,106993.5,16
State Representative,Chente Quintanilla,DEM,TX,Incumbent,Won-General,106792.73,75
State Representative,Jean Killgore,REP,TX,Challenger,Lost-General,106323.51,17
State Representative,Craig Eiland,DEM,TX,Incumbent,Won-General,105189.6,23
State Representative,Jerry Madden,REP,TX,Incumbent,Won-General,103159.3,67
State Representative,John Davis,REP,TX,Incumbent,Won-General,102109.38,129
State Representative,Carter Casteel,REP,TX,Incumbent,Won-General,100861.31,73
State Representative,Ryan Guillen,DEM,TX,Incumbent,Won-General,100298.2,31
State Representative,Jose Antonio Menendez,DEM,TX,Incumbent,Won-General,99526.27,124
State Representative,Richard Noriega,DEM,TX,Incumbent,Won-General,98484.0,145
State Representative,Jeffrey Hibbs,REP,TX,Challenger,Lost-General,98297.65,57
State Representative,Suzanna Gratia Hupp,REP,TX,Incumbent,Won-General,96095.41,54
State Representative,Bill Keffer,REP,TX,Incumbent,Won-General,95908.17,107
State Representative,Senfronia Thompson,DEM,TX,Incumbent,Won-General,94677.17,141
State Representative,Terry Keel,REP,TX,Incumbent,Won-General,92307.81,47
State Representative,Dan Flynn,REP,TX,Incumbent,Won-General,90102.22,2
State Representative,Fred Hill,REP,TX,Incumbent,Won-General,89207.11,112
State Representative,Bill Callegari,REP,TX,Incumbent,Won-General,88321.07,132
State Representative,Rafael Anchia,DEM,TX,Open,Won-General,87071.35,103
State Representative,Robert Talton,REP,TX,Incumbent,Won-General,85019.47,144
State Representative,Harriet Miller,DEM,TX,Challenger,Lost-General,84786.52,102
State Representative,Corbin Van Arsdale,REP,TX,Incumbent,Won-General,81152.94,130
State Representative,Joe Crabb,REP,TX,Incumbent,Won-General,79849.93,127
State Representative,Roberto Alonzo,DEM,TX,Incumbent,Won-General,79501.95,104
State Representative,Bob Griggs,REP,TX,Incumbent,Won-General,77716.76,91
State Representative,Robin Moore,DEM,TX,Open,Lost-General,77605.53,9
State Representative,Terri Hodge,DEM,TX,Incumbent,Won-General,74295.24,100
State Representative,Byron Cook,REP,TX,Incumbent,Won-General,73079.46,8
State Representative,Leo Berman,REP,TX,Incumbent,Won-General,71470.26,6
State Representative,Frank Corte Jr.,REP,TX,Incumbent,Won-General,70723.3,122
State Representative,Rene Oliveira,DEM,TX,Incumbent,Won-General,70300.0,37
State Representative,Kevin Bailey,DEM,TX,Incumbent,Won-General,70083.69,140
State Representative,Joe Deshotel,DEM,TX,Incumbent,Won-General,69866.49,22
State Representative,Larry Phillips,REP,TX,Incumbent,Won-General,69100.0,62
State Representative,Myra Crownover,REP,TX,Incumbent,Won-General,68118.48,64
State Representative,Rick Hardcastle,REP,TX,Incumbent,Won-General,66556.55,68
State Representative,Debbie Riddle,REP,TX,Incumbent,Won-General,65066.76,150
State Representative,Joe Moreno,DEM,TX,Incumbent,Won-General,63269.8,143
Board Of Education District 006,Terri Leo,REP,TX,Incumbent,Won-General,62960.55,nan
State Representative,Armando Martinez,DEM,TX,Open,Won-General,58585.57,39
State Representative,Eddie Rodriguez,DEM,TX,Incumbent,Won-General,58527.35,51
State Representative,Yvonne Davis,DEM,TX,Incumbent,Won-General,57698.18,111
State Representative,Jim Jackson,REP,TX,Open,Won-General,56687.42,115
State Representative,Elvira Reyna,REP,TX,Incumbent,Won-General,52895.74,101
State Representative,Will Hartnett,REP,TX,Incumbent,Won-General,51500.0,114
State Representative,Delwin Jones,REP,TX,Incumbent,Won-General,51122.0,83
State Representative,Ruby Woolridge,DEM,TX,Challenger,Lost-General,48542.23,94
State Representative,Dawnna Dukes,DEM,TX,Incumbent,Won-General,48259.11,46
State Representative,Roland Graves,DEM,TX,Challenger,Lost-General,46540.0,60
State Representative,Steven Salyer,REP,TX,Challenger,Lost-General,46418.76,118
State Senator,Jim Valdez,REP,TX,Challenger,Lost-General,46115.52,26
State Representative,Al Edwards,DEM,TX,Incumbent,Won-General,45200.0,146
State Representative,Gary Elkins,REP,TX,Incumbent,Won-General,41916.16,135
State Representative,John Smithee,REP,TX,Incumbent,Won-General,41475.36,86
State Representative,Sandra Ojeda Medina,REP,TX,Challenger,Lost-General,40468.68,123
State Representative,Dora Olivo,DEM,TX,Incumbent,Won-General,40212.36,27
State Representative,John Hubert,REP,TX,Challenger,Lost-General,38755.88,43
State Representative,Betty Brown,REP,TX,Incumbent,Won-General,38325.69,4
State Representative,Anna Mowery,REP,TX,Incumbent,Won-General,37205.0,97
State Representative,Glenda Dawson,REP,TX,Incumbent,Won-General,36296.64,29
State Representative,Jim Solis,DEM,TX,Incumbent,Won-General,36074.1,38
State Representative,Paul Moreno,DEM,TX,Incumbent,Won-General,35571.53,77
State Representative,Leora Slone,DEM,TX,Challenger,Lost-General,33864.91,72
State Representative,Jesse Jones,DEM,TX,Incumbent,Won-General,33174.43,110
State Representative,Mike Alberts,REP,TX,Challenger,Lost-General,32865.03,11
State Representative,Mary Denny,REP,TX,Incumbent,Won-General,32475.0,63
State Senator,Paul Gibbs,DEM,TX,Challenger,Lost-General,31848.75,30
State Representative,Wade Weems,DEM,TX,Challenger,Lost-General,30892.35,25
State Representative,Kent Sharp,REP,TX,Challenger,Lost-General,30861.87,85
State Representative,Todd Smith,REP,TX,Incumbent,Won-General,28551.23,92
State Representative,Charlotte Coffelt,DEM,TX,Challenger,Lost-General,27890.64,127
State Representative,John Miller,DEM,TX,Challenger,Lost-General,25764.96,83
Board Of Education District 008,Barbara Cargill,REP,TX,Open,Won-General,25327.93,nan
State Representative,Fred Brown,REP,TX,Incumbent,Won-General,24618.34,14
State Representative,Joaquin Castro,DEM,TX,Incumbent,Won-General,23071.2,125
State Representative,Bob Glaze,DEM,TX,Challenger,Lost-General,22042.29,5
State Representative,Nancy Stevens,DEM,TX,Challenger,Lost-General,20504.95,97
State Senator,Elaine King Miller,DEM,TX,Challenger,Lost-General,20393.0,31
Railroad Commissioner,Bob Scarborough,DEM,TX,Challenger,Lost-General,20295.59,nan
State Representative,Martin Woodward,DEM,TX,Challenger,Lost-General,19750.12,70
State Representative,Mitch Contreras,DEM,TX,Challenger,Lost-General,18413.28,128
State Representative,Rodney Nauert,DEM,TX,Challenger,Lost-General,16432.94,59
State Representative,Dan Chavez,REP,TX,Challenger,Lost-General,14913.99,79
State Representative,Freda McVay,DEM,TX,Challenger,Lost-General,13522.99,84
State Representative,Chris Shindler,REP,TX,Challenger,Lost-General,12205.01,116
Board Of Education District 014,Gail Lowe,REP,TX,Incumbent,Won-General,11857.5,nan
State Representative,Lee Stewart,DEM,TX,Challenger,Withdrew-General,9727.0,20
State Representative,James Jake Gilbreath,DEM,TX,Challenger,Lost-General,7686.36,10
State Representative,Michael Moore,DEM,TX,Challenger,Lost-General,6851.44,105
State Representative,Loretta Kusek,REP,TX,Challenger,Lost-General,6833.4,119
State Representative,Malcolm Dade,DEM,TX,Challenger,Lost-General,6711.6,108
State Representative,Darrel Cox,DEM,TX,Challenger,Lost-General,6380.86,96
State Representative,Jeanette Popp,DEM,TX,Challenger,Lost-General,5601.47,99
State Representative,Larry Keilberg,REP,TX,Challenger,Lost-General,4924.65,90
State Representative,Mark Breding,DEM,TX,Challenger,Withdrew-General,4449.91,5
State Representative,Arlo Chavira,DEM,TX,Challenger,Lost-General,4246.22,81
State Representative,Edward Lindsay,DEM,TX,Challenger,Lost-General,4224.74,54
State Representative,Casey McKinney,DEM,TX,Challenger,Lost-General,3500.0,126
State Representative,Brian Booker,DEM,TX,Challenger,Lost-General,2878.13,112
State Representative,Jim Stauber,DEM,TX,Challenger,Lost-General,2693.72,20
State Representative,Greg Kauffman,DEM,TX,Open,Lost-General,2502.0,58
State Representative,Gary Lynn Shelton,DEM,TX,Challenger,Lost-General,2480.66,28
State Representative,James Rice R) Harris,IND,TX,Challenger,Lost-General,1684.91,133
State Representative,Matthew Taylor Morones,REP,TX,Challenger,Lost-General,1500.0,142
Board Of Education District 007,David Bradley,REP,TX,Incumbent,Won-General,1355.87,nan
State Representative,Fred Ashmead,DEM,TX,Challenger,Lost-General,1250.0,138
State Representative,Eric Anthony Brandler,DEM,TX,Challenger,Lost-General,1250.0,113
State Representative,Lehman Harris,DEM,TX,Challenger,Lost-General,1190.0,89
State Representative,Mike Gregory,DEM,TX,Challenger,Lost-General,1028.13,93
Board Of Education District 011,Patricia Hardy,REP,TX,Incumbent,Won-General,700.0,nan
Board Of Education District 013,Mavis Best Knight,DEM,TX,Incumbent,Won-General,389.31,nan
Board Of Education District 002,Mary Helen Berlanga,DEM,TX,Incumbent,Won-General,350.0,nan
State Representative,Fred Jones,LIB,TX,Challenger,Lost-General,50.0,71
State Senator,Andrew Hill,DEM,TX,Challenger,Lost-General,0.0,10
State Representative,Don Large,REP,TX,Challenger,Lost-General,0.0,140
State Senator,Raymundo Aleman,LIB,TX,Challenger,Lost-General,0.0,26
State Representative,Steven Howard Capuano,LIB,TX,Challenger,Lost-General,0.0,130
State Representative,Thomas Clark,LIB,TX,Challenger,Lost-General,0.0,136
State Representative,David Wallace Croft,LIB,TX,Challenger,Lost-General,0.0,65
State Senator,Tony Depperschmidt,LIB,TX,Challenger,Lost-General,0.0,6
Railroad Commissioner,Anthony Garcia,LIB,TX,Challenger,Lost-General,0.0,nan
State Representative,Monica Granger,LIB,TX,Challenger,Lost-General,0.0,134
State Representative,Darrell Grear,LIB,TX,Challenger,Lost-General,0.0,17
State Representative,Robinson Butler Howell,LIB,TX,Challenger,Lost-General,0.0,49
State Representative,Greg Knowles,LIB,TX,Challenger,Lost-General,0.0,50
