office,candidate,party,state,incumbency,result,total money,district
State Senator,Gerald Neal,DEM,KY,Incumbent,Won-General,15025.0,33
State Representative,Larry Ashlock,DEM,KY,Challenger,Lost-General,14950.0,17
State Representative,Mary Harper,REP,KY,Incumbent,Won-General,14509.28,49
State Representative,Kevin Bratcher,REP,KY,Incumbent,Won-General,14400.0,29
State Representative,Jeff Hoover,REP,KY,Incumbent,Won-General,14200.0,83
State Representative,Adam Potter,REP,KY,Challenger,Lost-General,13726.47,22
State Representative,Arthur Green,DEM,KY,Challenger,Lost-General,13692.53,16
State Representative,Tim Couch,REP,KY,Incumbent,Won-General,12900.0,90
State Representative,Jimmy Higdon,REP,KY,Incumbent,Won-General,12878.19,24
State Representative,Jon Draud,REP,KY,Incumbent,Won-General,12460.0,63
State Representative,Wendell Keith Hall,DEM,KY,Incumbent,Won-General,11900.0,93
State Representative,Jimmie Lee,DEM,KY,Incumbent,Won-General,11400.0,25
State Representative,David Newman,REP,KY,Challenger,Lost-General,10885.06,30
State Representative,Bob Deweese,REP,KY,Incumbent,Won-General,10600.0,48
State Representative,James Gooch Jr.,DEM,KY,Incumbent,Won-General,10410.0,12
State Representative,Philip Kimball,REP,KY,Challenger,Lost-General,9412.37,34
State Representative,Fred Stubblefield,REP,KY,Challenger,Lost-General,9288.49,4
State Representative,Perry Clark,DEM,KY,Incumbent,Won-General,9230.0,37
State Representative,Marie Rader,REP,KY,Incumbent,Won-General,8865.0,89
State Representative,Charles Bell,REP,KY,Challenger,Lost-General,8705.0,35
State Representative,Ron Gambrell,REP,KY,Challenger,Lost-General,8409.96,28
State Representative,Dennis Horlander,DEM,KY,Incumbent,Won-General,7900.0,40
State Representative,Danny Ford,REP,KY,Incumbent,Won-General,7700.0,80
State Representative,Paul Marcotte,REP,KY,Incumbent,Won-General,7695.0,60
State Representative,Reginald Meeks,DEM,KY,Incumbent,Won-General,7685.0,42
State Representative,Timothy Feeley,REP,KY,Incumbent,Won-General,7575.0,59
State Representative,Rick Nelson,DEM,KY,Incumbent,Won-General,7190.77,87
State Representative,Brandon Smith,REP,KY,Incumbent,Won-General,6867.09,84
State Representative,Stephen Nunn,REP,KY,Incumbent,Won-General,6800.0,23
State Representative,Roger Sullivan,REP,KY,Challenger,Lost-General,6416.2,78
State Representative,John Vincent,REP,KY,Incumbent,Won-General,5450.0,100
State Representative,Theodore Anderson Edmonds,DEM,KY,Incumbent,Won-General,5200.0,91
State Representative,Lonnie Napier,REP,KY,Incumbent,Won-General,5150.0,36
State Representative,Kathy Stein,DEM,KY,Incumbent,Won-General,4950.0,75
State Representative,Joseph Ballard,DEM,KY,Incumbent,Won-General,4800.0,10
State Representative,James Comer Jr.,REP,KY,Incumbent,Won-General,4700.0,53
State Representative,Jesse Crenshaw,DEM,KY,Incumbent,Won-General,4570.0,77
State Representative,Brent Yonts,DEM,KY,Incumbent,Won-General,4500.0,15
State Representative,Adrian Arnold,DEM,KY,Incumbent,Won-General,4375.0,74
State Representative,Lamin Swann,DEM,KY,Challenger,Lost-General,4125.92,88
State Representative,Arnold Simpson,DEM,KY,Incumbent,Won-General,3825.0,65
State Representative,Russ Mobley,REP,KY,Incumbent,Won-General,3600.0,51
State Representative,Judy Blair,DEM,KY,Challenger,Lost-General,3599.0,18
State Representative,Jon David Reinhardt,REP,KY,Incumbent,Won-General,3450.0,69
State Representative,Derrick Graham,DEM,KY,Incumbent,Won-General,3243.56,57
State Senator,Ron Burrell,REP,KY,Open,Lost-General,2635.0,35
State Representative,Jim Stewart III,REP,KY,Incumbent,Won-General,2425.0,86
State Representative,Sammy Whittenburg,DEM,KY,Challenger,Lost-General,2379.86,52
State Representative,Tom Kerr,REP,KY,Incumbent,Won-General,1800.0,64
State Representative,Tommy Turner,REP,KY,Incumbent,Won-General,1550.0,85
State Representative,Darroll Hawkins,REP,KY,Challenger,Lost-General,1499.02,31
State Representative,Joseph Fischer,REP,KY,Incumbent,Won-General,1400.0,68
State Representative,Frank Rasche,DEM,KY,Incumbent,Won-General,1400.0,3
State Senator,Keith Kappes,REP,KY,Challenger,Withdrew-General,800.0,27
State Representative,Daniel Alley,DEM,KY,Challenger,Lost-General,600.0,33
State Representative,Gross Clay Lindsay,DEM,KY,Incumbent,Won-General,88.76,11
State Representative,Bobby Stumbo,REP,KY,Open,Lost-General,0.0,95
State Senator,Jeffrey Loren Hillebrandt,CON,KY,Challenger,Lost-General,0.0,25
State Representative,Tom Riner,DEM,KY,Incumbent,Won-General,0.0,41
State Representative,Don Fraley,REP,KY,Challenger,Withdrew-General,0.0,98
State Representative,Robert Jefferson,DEM,KY,Challenger,Withdrew-General,0.0,77
State Senator,Tim Quigley,DEM,KY,Challenger,Withdrew-General,0.0,23
State Representative,Jimmy Turner,DEM,KY,Open,Withdrew-General,0.0,95
