,State,Position,District,Candidate,Party,Year Elected,Next Election,Number of Terms in Position,Unopposed in Last Election,DEM Unopposed in Primary,REP Unopposed in Primary
0,New Mexico,Attorney General,0,Sean McGary,DEM,2006,2010,1,No,Yes,Yes
1,New Mexico,Commissioner Of Public Lands,0,Patrick Hiller Lyons,REP,2006,2010,2,No,No,Yes
2,New Mexico,Governor,0,William Richardson,DEM,2006,2010,2,No,No,No
3,New Mexico,Secretary Of State,0,Mary Herrera,DEM,2006,2010,1,No,Yes,No
4,New Mexico,State Representative,1,Thomas Taylor,REP,2008,0,4,Yes,Yes,Yes
5,New Mexico,State Representative,2,James J) Strickler,REP,2008,0,2,No,Yes,Yes
6,New Mexico,State Representative,3,Paul Bandy,REP,2008,0,2,Yes,Yes,Yes
7,New Mexico,State Representative,4,Ray Begaye,DEM,2008,0,5,Yes,Yes,Yes
8,New Mexico,State Representative,5,Sandra Jeff,DEM,2008,0,1,No,Yes,Yes
9,New Mexico,State Representative,6,Eliseo Alcon,DEM,2008,0,1,No,Yes,Yes
10,New Mexico,State Representative,7,Andrew Jerome Barreras,DEM,2008,0,2,No,Yes,Yes
11,New Mexico,State Representative,8,Elias Barela,DEM,2008,0,2,No,Yes,Yes
12,New Mexico,State Representative,9,Patricia Lundstrom,DEM,2008,0,4,Yes,Yes,Yes
13,New Mexico,State Representative,10,Henry Saavedra,DEM,2008,0,5,Yes,Yes,Yes
14,New Mexico,State Representative,11,Rick Miera,DEM,2008,0,5,Yes,Yes,Yes
15,New Mexico,State Representative,12,Ernesto Chavez,DEM,2008,0,3,No,Yes,Yes
16,New Mexico,State Representative,13,Eleanor Chavez,DEM,2008,0,1,Yes,No,Yes
17,New Mexico,State Representative,14,Miguel Garcia,DEM,2008,0,5,No,Yes,Yes
18,New Mexico,State Representative,15,William Baldwin Oneill,DEM,2008,0,1,No,Yes,Yes
19,New Mexico,State Representative,16,Antonio Maestas,DEM,2008,0,2,Yes,Yes,Yes
20,New Mexico,State Representative,17,Edward Sandoval,DEM,2008,0,5,No,Yes,Yes
21,New Mexico,State Representative,18,Gail Chasey,DEM,2008,0,2,Yes,Yes,Yes
22,New Mexico,State Representative,19,Sheryl Williams Stapleton,DEM,2008,0,5,Yes,Yes,Yes
23,New Mexico,State Representative,20,Richard Berry,REP,2008,0,2,Yes,Yes,Yes
24,New Mexico,State Representative,21,Mimi Stewart,DEM,2008,0,5,No,Yes,Yes
25,New Mexico,State Representative,22,Kathy McCoy,REP,2008,0,3,No,Yes,No
26,New Mexico,State Representative,23,Benjamin Rodefer,DEM,2008,0,1,No,Yes,Yes
27,New Mexico,State Representative,24,Janice Arnold-Jones,REP,2008,0,4,Yes,Yes,No
28,New Mexico,State Representative,25,Danice Picraux,DEM,2008,0,5,Yes,Yes,Yes
29,New Mexico,State Representative,26,Alfred Park,DEM,2008,0,5,No,Yes,Yes
30,New Mexico,State Representative,27,Lorenzo Larranaga,REP,2008,0,5,Yes,No,No
31,New Mexico,State Representative,28,Jimmie Hall,REP,2008,0,3,No,Yes,Yes
32,New Mexico,State Representative,29,Thomas Anthony Anderson,REP,2008,0,4,Yes,Yes,Yes
33,New Mexico,State Representative,30,Karen Giannini,DEM,2008,0,1,No,Yes,Yes
